season,match_name,fullName,overs,conceded,wickets,economyRate
2022,CSK v KKR,Umesh Yadav,4,20,2,5
2022,CSK v KKR,Shivam Mavi,4,35,0,8.75
2022,CSK v KKR,Varun Chakravarthy,4,23,1,5.75
2022,CSK v KKR,Sunil Narine,4,15,0,3.75
2022,CSK v KKR,Andre Russell,4,38,1,9.5
2022,CSK v KKR,Tushar Deshpande,3,23,0,7.66
2022,CSK v KKR,Adam Milne,2.3,19,0,7.6
2022,CSK v KKR,Mitchell Santner,4,31,1,7.75
2022,CSK v KKR,Dwayne Bravo,4,20,3,5
2022,CSK v KKR,Shivam Dube,1,11,0,11
2022,CSK v KKR,Ravindra Jadeja,4,25,0,6.25
2022,DC v MI,Shardul Thakur,4,47,0,11.75
2022,DC v MI,Khaleel Ahmed,4,27,2,6.75
2022,DC v MI,Axar Patel,4,40,0,10
2022,DC v MI,Kamlesh Nagarkoti,2,29,0,14.5
2022,DC v MI,Kuldeep Yadav,4,18,3,4.5
2022,DC v MI,Lalit Yadav,2,15,0,7.5
2022,DC v MI,Daniel Sams,4,57,0,14.25
2022,DC v MI,Jasprit Bumrah,3.2,43,0,12.9
2022,DC v MI,Basil Thampi,4,35,3,8.75
2022,DC v MI,Murugan Ashwin,4,14,2,3.5
2022,DC v MI,Tymal Mills,3,26,1,8.66
2022,PBKS v RCB,Sandeep Sharma,4,37,0,9.25
2022,PBKS v RCB,Arshdeep Singh,4,31,1,7.75
2022,PBKS v RCB,Odean Smith,4,52,0,13
2022,PBKS v RCB,Rahul Chahar,4,22,1,5.5
2022,PBKS v RCB,Harpreet Brar,3,38,0,12.66
2022,PBKS v RCB,Liam Livingstone,1,14,0,14
2022,PBKS v RCB,David Willey,3,28,0,9.33
2022,PBKS v RCB,Mohammed Siraj,4,59,2,14.75
2022,PBKS v RCB,Shahbaz Ahmed,1,6,0,6
2022,PBKS v RCB,Akash Deep,3,38,1,12.66
2022,PBKS v RCB,Wanindu Hasaranga de Silva,4,40,1,10
2022,PBKS v RCB,Harshal Patel,4,36,1,9
2022,GT v LSG,Mohammed Shami,4,25,3,6.25
2022,GT v LSG,Varun Aaron,4,45,2,11.25
2022,GT v LSG,Lockie Ferguson,4,24,0,6
2022,GT v LSG,Hardik Pandya,4,37,0,9.25
2022,GT v LSG,Rashid Khan,4,27,1,6.75
2022,GT v LSG,Dushmantha Chameera,3,22,2,7.33
2022,GT v LSG,Avesh Khan,3.4,33,1,9
2022,GT v LSG,Mohsin Khan,2,18,0,9
2022,GT v LSG,Ravi Bishnoi,4,34,0,8.5
2022,GT v LSG,Krunal Pandya,4,17,1,4.25
2022,GT v LSG,Deepak Hooda,3,31,1,10.33
2022,SRH v RR,Bhuvneshwar Kumar,4,29,1,7.25
2022,SRH v RR,Romario Shepherd,4,33,1,8.25
2022,SRH v RR,Umran Malik,4,39,2,9.75
2022,SRH v RR,Washington Sundar,3,47,0,15.66
2022,SRH v RR,T Natarajan,4,43,2,10.75
2022,SRH v RR,Abhishek Sharma,1,15,0,15
2022,SRH v RR,Trent Boult,4,23,2,5.75
2022,SRH v RR,Prasidh Krishna,4,16,2,4
2022,SRH v RR,Nathan Coulter-Nile,3,48,0,16
2022,SRH v RR,Ravichandran Ashwin,4,21,0,5.25
2022,SRH v RR,Yuzvendra Chahal,4,22,3,5.5
2022,SRH v RR,Riyan Parag,1,14,0,14
2022,RCB v KKR,David Willey,2,7,0,3.5
2022,RCB v KKR,Mohammed Siraj,4,25,1,6.25
2022,RCB v KKR,Akash Deep,3.5,45,3,11.73
2022,RCB v KKR,Wanindu Hasaranga de Silva,4,20,4,5
2022,RCB v KKR,Harshal Patel,4,11,2,2.75
2022,RCB v KKR,Shahbaz Ahmed,1,16,0,16
2022,RCB v KKR,Umesh Yadav,4,16,2,4
2022,RCB v KKR,Tim Southee,4,20,3,5
2022,RCB v KKR,Andre Russell,2.2,36,0,15.42
2022,RCB v KKR,Sunil Narine,4,12,1,3
2022,RCB v KKR,Varun Chakravarthy,4,33,1,8.25
2022,RCB v KKR,Venkatesh Iyer,1,10,0,10
2022,LSG v CSK,Avesh Khan,4,38,2,9.5
2022,LSG v CSK,Dushmantha Chameera,4,49,0,12.25
2022,LSG v CSK,Andrew Tye,4,40,2,10
2022,LSG v CSK,Krunal Pandya,3,36,0,12
2022,LSG v CSK,Ravi Bishnoi,4,24,2,6
2022,LSG v CSK,Deepak Hooda,1,12,0,12
2022,LSG v CSK,Mukesh Choudhary,3.3,39,0,11.14
2022,LSG v CSK,Tushar Deshpande,4,40,1,10
2022,LSG v CSK,Dwayne Bravo,4,35,1,8.75
2022,LSG v CSK,Ravindra Jadeja,2,21,0,10.5
2022,LSG v CSK,Moeen Ali,1,14,0,14
2022,LSG v CSK,Dwaine Pretorius,4,31,2,7.75
2022,LSG v CSK,Shivam Dube,1,25,0,25
2022,KKR v PBKS,Umesh Yadav,4,23,4,5.75
2022,KKR v PBKS,Tim Southee,4,36,2,9
2022,KKR v PBKS,Shivam Mavi,2,39,1,19.5
2022,KKR v PBKS,Varun Chakravarthy,4,14,0,3.5
2022,KKR v PBKS,Sunil Narine,4,23,1,5.75
2022,KKR v PBKS,Andre Russell,0.2,0,1,0
2022,KKR v PBKS,Arshdeep Singh,3,32,0,10.66
2022,KKR v PBKS,Kagiso Rabada,3,23,1,7.66
2022,KKR v PBKS,Odean Smith,2,39,1,19.5
2022,KKR v PBKS,Rahul Chahar,4,13,2,3.25
2022,KKR v PBKS,Harpreet Brar,2,20,0,10
2022,KKR v PBKS,Liam Livingstone,0.3,13,0,26
2022,MI v RR,Jasprit Bumrah,4,17,3,4.25
2022,MI v RR,Daniel Sams,4,32,0,8
2022,MI v RR,Basil Thampi,1,26,0,26
2022,MI v RR,Murugan Ashwin,3,32,0,10.66
2022,MI v RR,Tymal Mills,4,35,3,8.75
2022,MI v RR,Kieron Pollard,4,46,1,11.5
2022,MI v RR,Trent Boult,4,29,1,7.25
2022,MI v RR,Prasidh Krishna,4,37,1,9.25
2022,MI v RR,Navdeep Saini,3,36,2,12
2022,MI v RR,Ravichandran Ashwin,4,30,1,7.5
2022,MI v RR,Yuzvendra Chahal,4,26,2,6.5
2022,MI v RR,Riyan Parag,1,11,0,11
2022,GT v DC,Mustafizur Rahman,4,23,3,5.75
2022,GT v DC,Shardul Thakur,4,42,0,10.5
2022,GT v DC,Khaleel Ahmed,4,34,2,8.5
2022,GT v DC,Axar Patel,4,37,0,9.25
2022,GT v DC,Kuldeep Yadav,4,32,1,8
2022,GT v DC,Mohammed Shami,4,30,2,7.5
2022,GT v DC,Hardik Pandya,4,22,1,5.5
2022,GT v DC,Lockie Ferguson,4,28,4,7
2022,GT v DC,Rashid Khan,4,30,1,7.5
2022,GT v DC,Varun Aaron,1,7,0,7
2022,GT v DC,Vijay Shankar,1,14,0,14
2022,GT v DC,Rahul Tewatia,2,22,0,11
2022,CSK v PBKS,Mukesh Choudhary,4,52,1,13
2022,CSK v PBKS,Chris Jordan,4,23,2,5.75
2022,CSK v PBKS,Dwayne Bravo,3,32,1,10.66
2022,CSK v PBKS,Ravindra Jadeja,4,34,1,8.5
2022,CSK v PBKS,Dwaine Pretorius,4,30,2,7.5
2022,CSK v PBKS,Moeen Ali,1,8,0,8
2022,CSK v PBKS,Vaibhav Arora,4,21,2,5.25
2022,CSK v PBKS,Kagiso Rabada,3,28,1,9.33
2022,CSK v PBKS,Arshdeep Singh,2,13,1,6.5
2022,CSK v PBKS,Odean Smith,2,14,1,7
2022,CSK v PBKS,Rahul Chahar,4,25,3,6.25
2022,CSK v PBKS,Liam Livingstone,3,25,2,8.33
2022,SRH v LSG,Bhuvneshwar Kumar,4,25,0,6.25
2022,SRH v LSG,Washington Sundar,4,28,2,7
2022,SRH v LSG,Romario Shepherd,4,42,2,10.5
2022,SRH v LSG,Umran Malik,3,39,0,13
2022,SRH v LSG,Abdul Samad,1,8,0,8
2022,SRH v LSG,T Natarajan,4,26,2,6.5
2022,SRH v LSG,Jason Holder,4,34,3,8.5
2022,SRH v LSG,Krunal Pandya,4,27,2,6.75
2022,SRH v LSG,Avesh Khan,4,24,4,6
2022,SRH v LSG,Andrew Tye,4,39,0,9.75
2022,SRH v LSG,Ravi Bishnoi,4,29,0,7.25
2022,RR v RCB,Mohammed Siraj,4,43,0,10.75
2022,RR v RCB,David Willey,4,29,1,7.25
2022,RR v RCB,Akash Deep,4,44,0,11
2022,RR v RCB,Wanindu Hasaranga de Silva,4,32,1,8
2022,RR v RCB,Harshal Patel,4,18,1,4.5
2022,RR v RCB,Trent Boult,4,34,2,8.5
2022,RR v RCB,Prasidh Krishna,4,40,0,10
2022,RR v RCB,Ravichandran Ashwin,4,39,0,9.75
2022,RR v RCB,Yuzvendra Chahal,4,15,2,3.75
2022,RR v RCB,Navdeep Saini,3,36,1,12
2022,RR v RCB,Yashasvi Jaiswal,0.1,6,0,36
2022,KKR v MI,Umesh Yadav,4,25,1,6.25
2022,KKR v MI,Rasikh Salam,3,18,0,6
2022,KKR v MI,Pat Cummins,4,49,2,12.25
2022,KKR v MI,Sunil Narine,4,26,0,6.5
2022,KKR v MI,Varun Chakravarthy,4,32,1,8
2022,KKR v MI,Andre Russell,1,9,0,9
2022,KKR v MI,Basil Thampi,3,15,0,5
2022,KKR v MI,Daniel Sams,3,50,1,16.66
2022,KKR v MI,Jasprit Bumrah,3,26,0,8.66
2022,KKR v MI,Tymal Mills,3,38,2,12.66
2022,KKR v MI,Tilak Varma,1,6,0,6
2022,KKR v MI,Murugan Ashwin,3,25,2,8.33
2022,LSG v DC,Jason Holder,4,30,0,7.5
2022,LSG v DC,Krishnappa Gowtham,4,23,1,5.75
2022,LSG v DC,Avesh Khan,3,32,0,10.66
2022,LSG v DC,Ravi Bishnoi,4,22,2,5.5
2022,LSG v DC,Andrew Tye,3,28,0,9.33
2022,LSG v DC,Krunal Pandya,2,12,0,6
2022,LSG v DC,Mustafizur Rahman,4,26,0,6.5
2022,LSG v DC,Lalit Yadav,4,21,1,5.25
2022,LSG v DC,Shardul Thakur,3.4,29,1,7.9
2022,LSG v DC,Anrich Nortje,2.2,35,0,15
2022,LSG v DC,Axar Patel,2,11,0,5.5
2022,LSG v DC,Kuldeep Yadav,3.4,31,2,8.45
2022,PBKS v GT,Mohammed Shami,4,36,1,9
2022,PBKS v GT,Hardik Pandya,4,36,1,9
2022,PBKS v GT,Lockie Ferguson,4,33,1,8.25
2022,PBKS v GT,Rashid Khan,4,22,3,5.5
2022,PBKS v GT,Darshan Nalkande,3,37,2,12.33
2022,PBKS v GT,Rahul Tewatia,1,24,0,24
2022,PBKS v GT,Vaibhav Arora,4,34,0,8.5
2022,PBKS v GT,Arshdeep Singh,4,31,0,7.75
2022,PBKS v GT,Kagiso Rabada,4,35,2,8.75
2022,PBKS v GT,Rahul Chahar,4,41,1,10.25
2022,PBKS v GT,Odean Smith,3,35,0,11.66
2022,PBKS v GT,Liam Livingstone,1,12,0,12
2022,CSK v SRH,Bhuvneshwar Kumar,4,36,1,9
2022,CSK v SRH,Marco Jansen,4,30,1,7.5
2022,CSK v SRH,Washington Sundar,4,21,2,5.25
2022,CSK v SRH,T Natarajan,4,30,2,7.5
2022,CSK v SRH,Umran Malik,3,29,0,9.66
2022,CSK v SRH,Aiden Markram,1,8,1,8
2022,CSK v SRH,Mukesh Choudhary,4,30,1,7.5
2022,CSK v SRH,Maheesh Theekshana,4,31,0,7.75
2022,CSK v SRH,Chris Jordan,3,34,0,11.33
2022,CSK v SRH,Ravindra Jadeja,3,21,0,7
2022,CSK v SRH,Moeen Ali,1,10,0,10
2022,CSK v SRH,Dwayne Bravo,2.4,29,1,10.87
2022,RCB v MI,David Willey,2,8,0,4
2022,RCB v MI,Mohammed Siraj,4,51,0,12.75
2022,RCB v MI,Wanindu Hasaranga de Silva,4,28,2,7
2022,RCB v MI,Akash Deep,4,20,1,5
2022,RCB v MI,Harshal Patel,4,23,2,5.75
2022,RCB v MI,Shahbaz Ahmed,2,19,0,9.5
2022,RCB v MI,Basil Thampi,4,29,0,7.25
2022,RCB v MI,Jaydev Unadkat,4,30,1,7.5
2022,RCB v MI,Jasprit Bumrah,4,31,0,7.75
2022,RCB v MI,Murugan Ashwin,3,26,0,8.66
2022,RCB v MI,Kieron Pollard,3,24,0,8
2022,RCB v MI,Dewald Brevis,0.3,8,1,16
2022,KKR v DC,Umesh Yadav,4,48,1,12
2022,KKR v DC,Rasikh Salam,1,10,0,10
2022,KKR v DC,Pat Cummins,4,51,0,12.75
2022,KKR v DC,Varun Chakravarthy,4,44,1,11
2022,KKR v DC,Sunil Narine,4,21,2,5.25
2022,KKR v DC,Andre Russell,2,16,1,8
2022,KKR v DC,Venkatesh Iyer,1,14,0,14
2022,KKR v DC,Mustafizur Rahman,4,21,0,5.25
2022,KKR v DC,Shardul Thakur,2.4,30,2,11.25
2022,KKR v DC,Khaleel Ahmed,4,25,3,6.25
2022,KKR v DC,Axar Patel,3,32,0,10.66
2022,KKR v DC,Kuldeep Yadav,4,35,4,8.75
2022,KKR v DC,Rovman Powell,1,17,0,17
2022,KKR v DC,Lalit Yadav,1,8,1,8
2022,RR v LSG,Dushmantha Chameera,4,22,0,5.5
2022,RR v LSG,Jason Holder,4,50,2,12.5
2022,RR v LSG,Ravi Bishnoi,4,29,0,7.25
2022,RR v LSG,Avesh Khan,4,31,1,7.75
2022,RR v LSG,Krishnappa Gowtham,4,30,2,7.5
2022,RR v LSG,Trent Boult,4,30,2,7.5
2022,RR v LSG,Prasidh Krishna,4,35,1,8.75
2022,RR v LSG,Ravichandran Ashwin,4,20,0,5
2022,RR v LSG,Kuldeep Sen,4,35,1,8.75
2022,RR v LSG,Yuzvendra Chahal,4,41,4,10.25
2022,SRH v GT,Bhuvneshwar Kumar,4,37,2,9.25
2022,SRH v GT,Marco Jansen,4,27,1,6.75
2022,SRH v GT,Washington Sundar,3,14,0,4.66
2022,SRH v GT,T Natarajan,4,34,2,8.5
2022,SRH v GT,Umran Malik,4,39,1,9.75
2022,SRH v GT,Aiden Markram,1,9,0,9
2022,SRH v GT,Mohammed Shami,4,32,0,8
2022,SRH v GT,Hardik Pandya,4,27,1,6.75
2022,SRH v GT,Lockie Ferguson,4,46,0,11.5
2022,SRH v GT,Rashid Khan,4,28,1,7
2022,SRH v GT,Darshan Nalkande,2.1,22,0,10.15
2022,SRH v GT,Rahul Tewatia,1,10,0,10
2022,CSK v RCB,Mohammed Siraj,4,37,0,9.25
2022,CSK v RCB,Josh Hazlewood,4,33,1,8.25
2022,CSK v RCB,Akash Deep,4,58,0,14.5
2022,CSK v RCB,Glenn Maxwell,3,29,0,9.66
2022,CSK v RCB,Shahbaz Ahmed,2,18,0,9
2022,CSK v RCB,Wanindu Hasaranga de Silva,3,35,2,11.66
2022,CSK v RCB,Moeen Ali,3,19,0,6.33
2022,CSK v RCB,Mukesh Choudhary,3,40,1,13.33
2022,CSK v RCB,Maheesh Theekshana,4,33,4,8.25
2022,CSK v RCB,Ravindra Jadeja,4,39,3,9.75
2022,CSK v RCB,Chris Jordan,2,20,0,10
2022,CSK v RCB,Dwayne Bravo,4,42,1,10.5
2022,MI v PBKS,Basil Thampi,4,47,2,11.75
2022,MI v PBKS,Jaydev Unadkat,4,44,1,11
2022,MI v PBKS,Jasprit Bumrah,4,28,1,7
2022,MI v PBKS,Murugan Ashwin,4,34,1,8.5
2022,MI v PBKS,Tymal Mills,4,37,0,9.25
2022,MI v PBKS,Vaibhav Arora,4,43,1,10.75
2022,MI v PBKS,Kagiso Rabada,4,29,2,7.25
2022,MI v PBKS,Arshdeep Singh,4,29,0,7.25
2022,MI v PBKS,Odean Smith,3,30,4,10
2022,MI v PBKS,Liam Livingstone,1,11,0,11
2022,MI v PBKS,Rahul Chahar,4,44,0,11
2022,RR v GT,James Neesham,3,29,0,9.66
2022,RR v GT,Prasidh Krishna,4,35,0,8.75
2022,RR v GT,Kuldeep Sen,4,51,1,12.75
2022,RR v GT,Yuzvendra Chahal,4,32,1,8
2022,RR v GT,Riyan Parag,1,12,1,12
2022,RR v GT,Ravichandran Ashwin,4,33,0,8.25
2022,RR v GT,Mohammed Shami,4,39,1,9.75
2022,RR v GT,Yash Dayal,4,40,3,10
2022,RR v GT,Rashid Khan,4,24,0,6
2022,RR v GT,Lockie Ferguson,4,23,3,5.75
2022,RR v GT,Rahul Tewatia,1,9,0,9
2022,RR v GT,Hardik Pandya,2.3,18,1,7.2
2022,RR v GT,Vijay Shankar,0.3,1,0,2
2022,SRH v KKR,Bhuvneshwar Kumar,4,37,1,9.25
2022,SRH v KKR,Marco Jansen,4,26,1,6.5
2022,SRH v KKR,T Natarajan,4,37,3,9.25
2022,SRH v KKR,Umran Malik,4,27,2,6.75
2022,SRH v KKR,Shashank Singh,1,10,0,10
2022,SRH v KKR,Jagadeesha Suchith,3,32,1,10.66
2022,SRH v KKR,Umesh Yadav,4,31,0,7.75
2022,SRH v KKR,Pat Cummins,3.5,40,1,10.43
2022,SRH v KKR,Andre Russell,2,20,2,10
2022,SRH v KKR,Aman Hakim Khan,1,13,0,13
2022,SRH v KKR,Varun Chakravarthy,3,45,0,15
2022,SRH v KKR,Sunil Narine,4,23,0,5.75
2022,MI v LSG,Tilak Varma,1,7,0,7
2022,MI v LSG,Jaydev Unadkat,4,32,2,8
2022,MI v LSG,Murugan Ashwin,4,33,1,8.25
2022,MI v LSG,Jasprit Bumrah,4,24,0,6
2022,MI v LSG,Tymal Mills,3,54,0,18
2022,MI v LSG,Fabian Allen,4,46,1,11.5
2022,MI v LSG,Jason Holder,4,34,1,8.5
2022,MI v LSG,Dushmantha Chameera,4,48,1,12
2022,MI v LSG,Avesh Khan,4,30,3,7.5
2022,MI v LSG,Ravi Bishnoi,4,34,1,8.5
2022,MI v LSG,Marcus Stoinis,2,13,1,6.5
2022,MI v LSG,Krunal Pandya,2,16,0,8
2022,DC v RCB,Mustafizur Rahman,4,48,0,12
2022,DC v RCB,Shardul Thakur,4,27,1,6.75
2022,DC v RCB,Khaleel Ahmed,4,36,1,9
2022,DC v RCB,Axar Patel,4,29,1,7.25
2022,DC v RCB,Kuldeep Yadav,4,46,1,11.5
2022,DC v RCB,Glenn Maxwell,2,14,0,7
2022,DC v RCB,Mohammed Siraj,4,31,2,7.75
2022,DC v RCB,Josh Hazlewood,4,28,3,7
2022,DC v RCB,Shahbaz Ahmed,2,19,0,9.5
2022,DC v RCB,Harshal Patel,4,40,0,10
2022,DC v RCB,Wanindu Hasaranga de Silva,4,40,1,10
2022,PBKS v SRH,Bhuvneshwar Kumar,4,22,3,5.5
2022,PBKS v SRH,Marco Jansen,4,35,0,8.75
2022,PBKS v SRH,T Natarajan,4,38,1,9.5
2022,PBKS v SRH,Jagadeesha Suchith,4,28,1,7
2022,PBKS v SRH,Umran Malik,4,28,4,7
2022,PBKS v SRH,Vaibhav Arora,3.5,35,0,9.13
2022,PBKS v SRH,Kagiso Rabada,4,29,1,7.25
2022,PBKS v SRH,Arshdeep Singh,4,32,0,8
2022,PBKS v SRH,Rahul Chahar,4,28,2,7
2022,PBKS v SRH,Odean Smith,1,8,0,8
2022,PBKS v SRH,Liam Livingstone,2,19,0,9.5
2022,GT v CSK,Mohammed Shami,4,20,1,5
2022,GT v CSK,Yash Dayal,4,40,1,10
2022,GT v CSK,Alzarri Joseph,4,34,2,8.5
2022,GT v CSK,Lockie Ferguson,4,46,0,11.5
2022,GT v CSK,Rashid Khan,4,29,0,7.25
2022,GT v CSK,Mukesh Choudhary,3,18,1,6
2022,GT v CSK,Maheesh Theekshana,4,24,2,6
2022,GT v CSK,Chris Jordan,3.5,58,0,15.13
2022,GT v CSK,Ravindra Jadeja,3,25,1,8.33
2022,GT v CSK,Moeen Ali,2,17,0,8.5
2022,GT v CSK,Dwayne Bravo,4,23,3,5.75
2022,RR v KKR,Umesh Yadav,4,44,0,11
2022,RR v KKR,Shivam Mavi,4,34,1,8.5
2022,RR v KKR,Varun Chakravarthy,2,30,0,15
2022,RR v KKR,Pat Cummins,4,50,1,12.5
2022,RR v KKR,Sunil Narine,4,21,2,5.25
2022,RR v KKR,Andre Russell,2,29,1,14.5
2022,RR v KKR,Trent Boult,4,48,0,12
2022,RR v KKR,Prasidh Krishna,4,43,1,10.75
2022,RR v KKR,Obed McCoy,3.4,41,2,11.18
2022,RR v KKR,Ravichandran Ashwin,4,38,1,9.5
2022,RR v KKR,Yuzvendra Chahal,4,40,5,10
2022,LSG v RCB,Dushmantha Chameera,3,31,2,10.33
2022,LSG v RCB,Avesh Khan,4,33,0,8.25
2022,LSG v RCB,Krunal Pandya,4,29,1,7.25
2022,LSG v RCB,Ravi Bishnoi,4,47,0,11.75
2022,LSG v RCB,Jason Holder,4,25,2,6.25
2022,LSG v RCB,Marcus Stoinis,1,14,0,14
2022,LSG v RCB,Mohammed Siraj,4,31,1,7.75
2022,LSG v RCB,Glenn Maxwell,2,11,1,5.5
2022,LSG v RCB,Josh Hazlewood,4,25,4,6.25
2022,LSG v RCB,Shahbaz Ahmed,4,25,0,6.25
2022,LSG v RCB,Harshal Patel,4,47,2,11.75
2022,LSG v RCB,Wanindu Hasaranga de Silva,2,20,0,10
2022,DC v PBKS,Shardul Thakur,2,20,0,10
2022,DC v PBKS,Khaleel Ahmed,4,21,2,5.25
2022,DC v PBKS,Lalit Yadav,2,11,2,5.5
2022,DC v PBKS,Mustafizur Rahman,4,28,1,7
2022,DC v PBKS,Axar Patel,4,10,2,2.5
2022,DC v PBKS,Kuldeep Yadav,4,24,2,6
2022,DC v PBKS,Vaibhav Arora,2,31,0,15.5
2022,DC v PBKS,Kagiso Rabada,3,35,0,11.66
2022,DC v PBKS,Arshdeep Singh,1,17,0,17
2022,DC v PBKS,Nathan Ellis,2,15,0,7.5
2022,DC v PBKS,Rahul Chahar,2.3,21,1,8.4
2022,MI v CSK,Mukesh Choudhary,3,19,3,6.33
2022,MI v CSK,Mitchell Santner,3,16,1,5.33
2022,MI v CSK,Maheesh Theekshana,4,35,1,8.75
2022,MI v CSK,Ravindra Jadeja,4,30,0,7.5
2022,MI v CSK,Dwaine Pretorius,2,17,0,8.5
2022,MI v CSK,Dwayne Bravo,4,36,2,9
2022,MI v CSK,Daniel Sams,4,30,4,7.5
2022,MI v CSK,Jasprit Bumrah,4,29,0,7.25
2022,MI v CSK,Riley Meredith,4,25,1,6.25
2022,MI v CSK,Jaydev Unadkat,4,48,2,12
2022,MI v CSK,Hrithik Shokeen,4,23,0,5.75
2022,DC v RR,Khaleel Ahmed,4,47,1,11.75
2022,DC v RR,Shardul Thakur,3,29,0,9.66
2022,DC v RR,Lalit Yadav,4,41,0,10.25
2022,DC v RR,Mustafizur Rahman,4,43,1,10.75
2022,DC v RR,Kuldeep Yadav,3,40,0,13.33
2022,DC v RR,Axar Patel,2,21,0,10.5
2022,DC v RR,Trent Boult,4,47,0,11.75
2022,DC v RR,Prasidh Krishna,4,22,3,5.5
2022,DC v RR,Obed McCoy,3,52,1,17.33
2022,DC v RR,Ravichandran Ashwin,4,32,2,8
2022,DC v RR,Yuzvendra Chahal,4,28,1,7
2022,DC v RR,Riyan Parag,1,22,0,22
2022,KKR v GT,Umesh Yadav,4,31,1,7.75
2022,KKR v GT,Tim Southee,4,24,3,6
2022,KKR v GT,Shivam Mavi,4,36,1,9
2022,KKR v GT,Sunil Narine,4,31,0,7.75
2022,KKR v GT,Varun Chakravarthy,3,26,0,8.66
2022,KKR v GT,Andre Russell,1,5,4,5
2022,KKR v GT,Mohammed Shami,4,20,2,5
2022,KKR v GT,Yash Dayal,4,42,2,10.5
2022,KKR v GT,Alzarri Joseph,4,31,1,7.75
2022,KKR v GT,Lockie Ferguson,4,33,1,8.25
2022,KKR v GT,Rashid Khan,4,22,2,5.5
2022,RCB v SRH,Bhuvneshwar Kumar,2.1,8,1,3.69
2022,RCB v SRH,Marco Jansen,4,25,3,6.25
2022,RCB v SRH,T Natarajan,3,10,3,3.33
2022,RCB v SRH,Jagadeesha Suchith,3,12,2,4
2022,RCB v SRH,Umran Malik,4,13,1,3.25
2022,RCB v SRH,Mohammed Siraj,2,15,0,7.5
2022,RCB v SRH,Josh Hazlewood,3,31,0,10.33
2022,RCB v SRH,Harshal Patel,2,18,1,9
2022,RCB v SRH,Wanindu Hasaranga de Silva,1,7,0,7
2022,LSG v MI,Daniel Sams,4,40,1,10
2022,LSG v MI,Hrithik Shokeen,2,11,0,5.5
2022,LSG v MI,Jasprit Bumrah,4,31,1,7.75
2022,LSG v MI,Riley Meredith,4,40,2,10
2022,LSG v MI,Jaydev Unadkat,4,36,0,9
2022,LSG v MI,Kieron Pollard,2,8,2,4
2022,LSG v MI,Mohsin Khan,4,27,1,6.75
2022,LSG v MI,Dushmantha Chameera,4,14,0,3.5
2022,LSG v MI,Jason Holder,4,36,1,9
2022,LSG v MI,Krunal Pandya,4,19,3,4.75
2022,LSG v MI,Ravi Bishnoi,3,28,1,9.33
