season,match_name,fullName,overs,conceded,wickets,economyRate
2015,KKR v MI,Umesh Yadav,3,36,0,12
2015,KKR v MI,Morne Morkel,4,18,2,4.5
2015,KKR v MI,Shakib Al Hasan,4,48,1,12
2015,KKR v MI,Sunil Narine,4,28,0,7
2015,KKR v MI,Andre Russell,3,21,0,7
2015,KKR v MI,Piyush Chawla,2,16,0,8
2015,KKR v MI,Lasith Malinga,4,27,0,6.75
2015,KKR v MI,Vinay Kumar,3.3,21,0,6
2015,KKR v MI,Corey Anderson,2,21,1,10.5
2015,KKR v MI,Jasprit Bumrah,3,38,1,12.66
2015,KKR v MI,Pragyan Ojha,2,23,0,11.5
2015,KKR v MI,Harbhajan Singh,4,38,1,9.5
2015,CSK v DC,Albie Morkel,3,28,0,9.33
2015,CSK v DC,Nathan Coulter-Nile,4,30,3,7.5
2015,CSK v DC,Domnic Muthuswami,3,18,1,6
2015,CSK v DC,Imran Tahir,4,27,1,6.75
2015,CSK v DC,Amit Mishra,4,21,1,5.25
2015,CSK v DC,Jean-Paul Duminy,2,15,1,7.5
2015,CSK v DC,Ashish Nehra,4,25,3,6.25
2015,CSK v DC,Mohit Sharma,4,33,1,8.25
2015,CSK v DC,Ishwar Pandey,4,30,1,7.5
2015,CSK v DC,Ravichandran Ashwin,4,25,1,6.25
2015,CSK v DC,Dwayne Bravo,4,36,2,9
2015,KXIP v RR,Sandeep Sharma,4,19,1,4.75
2015,KXIP v RR,Anureet Singh,4,23,3,5.75
2015,KXIP v RR,Axar Patel,4,34,1,8.5
2015,KXIP v RR,Karanveer Singh,4,43,0,10.75
2015,KXIP v RR,Mitchell Johnson,4,34,2,8.5
2015,KXIP v RR,Tim Southee,4,36,2,9
2015,KXIP v RR,Chris Morris,4,21,0,5.25
2015,KXIP v RR,Dhawal Kulkarni,3,21,1,7
2015,KXIP v RR,James Faulkner,4,26,3,6.5
2015,KXIP v RR,Pravin Tambe,3,15,0,5
2015,KXIP v RR,Stuart Binny,2,15,0,7.5
2015,CSK v SRH,Bhuvneshwar Kumar,4,31,0,7.75
2015,CSK v SRH,Trent Boult,4,34,1,8.5
2015,CSK v SRH,Ishant Sharma,3,46,0,15.33
2015,CSK v SRH,Karn Sharma,4,51,0,12.75
2015,CSK v SRH,Ravi Bopara,4,29,0,7.25
2015,CSK v SRH,Parvez Rasool,1,11,0,11
2015,CSK v SRH,Ashish Nehra,4,31,0,7.75
2015,CSK v SRH,Mohit Sharma,4,36,2,9
2015,CSK v SRH,Ishwar Pandey,3,26,1,8.66
2015,CSK v SRH,Ravichandran Ashwin,4,22,1,5.5
2015,CSK v SRH,Dwayne Bravo,4,25,2,6.25
2015,CSK v SRH,Ravindra Jadeja,1,17,0,17
2015,KKR v RCB,Sean Abbott,3,36,0,12
2015,KKR v RCB,Harshal Patel,4,37,1,9.25
