season,match_name,fullName,runs,ballsFaced,strikeRate
2022,CSK v KKR,Ruturaj Gaikwad,0,4,0
2022,CSK v KKR,Devon Conway,3,8,37.5
2022,CSK v KKR,Robin Uthappa,28,21,133.33
2022,CSK v KKR,Ambati Rayudu,15,17,88.23
2022,CSK v KKR,Ravindra Jadeja,26,28,92.85
2022,CSK v KKR,Shivam Dube,3,6,50
2022,CSK v KKR,MS Dhoni,50,38,131.57
2022,CSK v KKR,Ajinkya Rahane,44,34,129.41
2022,CSK v KKR,Venkatesh Iyer,16,16,100
2022,CSK v KKR,Nitish Rana,21,17,123.52
2022,CSK v KKR,Shreyas Iyer,20,19,105.26
2022,CSK v KKR,Sam Billings,25,22,113.63
2022,CSK v KKR,Sheldon Jackson,3,3,100
2022,DC v MI,Rohit Sharma,41,32,128.12
2022,DC v MI,Ishan Kishan,81,48,168.75
2022,DC v MI,Anmolpreet Singh,8,9,88.88
2022,DC v MI,Tilak Varma,22,15,146.66
2022,DC v MI,Kieron Pollard,3,6,50
2022,DC v MI,Tim David,12,8,150
2022,DC v MI,Daniel Sams,7,2,350
2022,DC v MI,Prithvi Shaw,38,24,158.33
2022,DC v MI,Tim Seifert,21,14,150
2022,DC v MI,Mandeep Singh,0,2,0
2022,DC v MI,Rishabh Pant,1,2,50
2022,DC v MI,Lalit Yadav,48,38,126.31
2022,DC v MI,Rovman Powell,0,2,0
2022,DC v MI,Shardul Thakur,22,11,200
2022,DC v MI,Axar Patel,38,17,223.52
2022,PBKS v RCB,Faf du Plessis,88,57,154.38
2022,PBKS v RCB,Anuj Rawat,21,20,105
2022,PBKS v RCB,Virat Kohli,41,29,141.37
2022,PBKS v RCB,Dinesh Karthik,32,14,228.57
2022,PBKS v RCB,Mayank Agarwal,32,24,133.33
2022,PBKS v RCB,Shikhar Dhawan,43,29,148.27
2022,PBKS v RCB,Bhanuka Rajapaksa,43,22,195.45
2022,PBKS v RCB,Liam Livingstone,19,10,190
2022,PBKS v RCB,Raj Bawa,0,1,0
2022,PBKS v RCB,M Shahrukh Khan,24,20,120
2022,PBKS v RCB,Odean Smith,25,8,312.5
2022,GT v LSG,KL Rahul,0,1,0
2022,GT v LSG,Quinton de Kock,7,9,77.77
2022,GT v LSG,Evin Lewis,10,9,111.11
2022,GT v LSG,Manish Pandey,6,5,120
2022,GT v LSG,Deepak Hooda,55,41,134.14
2022,GT v LSG,Ayush Badoni,54,41,131.7
2022,GT v LSG,Krunal Pandya,21,13,161.53
2022,GT v LSG,Dushmantha Chameera,1,1,100
2022,GT v LSG,Shubman Gill,0,3,0
2022,GT v LSG,Matthew Wade,30,29,103.44
2022,GT v LSG,Vijay Shankar,4,6,66.66
2022,GT v LSG,Hardik Pandya,33,28,117.85
2022,GT v LSG,David Miller,30,21,142.85
2022,GT v LSG,Rahul Tewatia,40,24,166.66
2022,GT v LSG,Abhinav Manohar,15,7,214.28
2022,SRH v RR,Jos Buttler,35,28,125
2022,SRH v RR,Yashasvi Jaiswal,20,16,125
2022,SRH v RR,Sanju Samson,55,27,203.7
2022,SRH v RR,Devdutt Padikkal,41,29,141.37
2022,SRH v RR,Shimron Hetmyer,32,13,246.15
2022,SRH v RR,Riyan Parag,12,9,133.33
2022,SRH v RR,Nathan Coulter0Nile,1,2,50
2022,SRH v RR,Kane Williamson,2,7,28.57
2022,SRH v RR,Abhishek Sharma,9,19,47.36
2022,SRH v RR,Rahul Tripathi,0,3,0
2022,SRH v RR,Nicholas Pooran,0,9,0
2022,SRH v RR,Aiden Markram,57,41,139.02
2022,SRH v RR,Abdul Samad,4,6,66.66
2022,SRH v RR,Romario Shepherd,24,18,133.33
2022,SRH v RR,Washington Sundar,40,14,285.71
2022,SRH v RR,Bhuvneshwar Kumar,3,4,75
2022,RCB v KKR,Ajinkya Rahane,9,10,90
2022,RCB v KKR,Venkatesh Iyer,10,14,71.42
2022,RCB v KKR,Shreyas Iyer,13,10,130
2022,RCB v KKR,Nitish Rana,10,5,200
2022,RCB v KKR,Sunil Narine,12,8,150
2022,RCB v KKR,Sam Billings,14,15,93.33
2022,RCB v KKR,Sheldon Jackson,0,1,0
2022,RCB v KKR,Andre Russell,25,18,138.88
2022,RCB v KKR,Tim Southee,1,5,20
2022,RCB v KKR,Umesh Yadav,18,12,150
2022,RCB v KKR,Varun Chakravarthy,10,16,62.5
2022,RCB v KKR,Faf du Plessis,5,4,125
2022,RCB v KKR,Anuj Rawat,0,2,0
2022,RCB v KKR,Virat Kohli,12,7,171.42
2022,RCB v KKR,David Willey,18,28,64.28
2022,RCB v KKR,Sherfane Rutherford,28,40,70
2022,RCB v KKR,Shahbaz Ahmed,27,20,135
2022,RCB v KKR,Dinesh Karthik,14,7,200
2022,RCB v KKR,Wanindu Hasaranga de Silva,4,3,133.33
2022,RCB v KKR,Harshal Patel,10,6,166.66
2022,LSG v CSK,Robin Uthappa,50,27,185.18
2022,LSG v CSK,Ruturaj Gaikwad,1,4,25
2022,LSG v CSK,Moeen Ali,35,22,159.09
2022,LSG v CSK,Shivam Dube,49,30,163.33
2022,LSG v CSK,Ambati Rayudu,27,20,135
2022,LSG v CSK,Ravindra Jadeja,17,9,188.88
2022,LSG v CSK,MS Dhoni,16,6,266.66
2022,LSG v CSK,Dwaine Pretorius,0,1,0
2022,LSG v CSK,Dwayne Bravo,1,1,100
2022,LSG v CSK,KL Rahul,40,26,153.84
2022,LSG v CSK,Quinton de Kock,61,45,135.55
2022,LSG v CSK,Manish Pandey,5,6,83.33
2022,LSG v CSK,Evin Lewis,55,23,239.13
2022,LSG v CSK,Deepak Hooda,13,8,162.5
2022,LSG v CSK,Ayush Badoni,19,9,211.11
2022,KKR v PBKS,Mayank Agarwal,1,5,20
2022,KKR v PBKS,Shikhar Dhawan,16,15,106.66
2022,KKR v PBKS,Bhanuka Rajapaksa,31,9,344.44
2022,KKR v PBKS,Liam Livingstone,19,16,118.75
2022,KKR v PBKS,Raj Bawa,11,13,84.61
2022,KKR v PBKS,M Shahrukh Khan,0,5,0
2022,KKR v PBKS,Harpreet Brar,14,18,77.77
2022,KKR v PBKS,Odean Smith,9,12,75
2022,KKR v PBKS,Rahul Chahar,0,2,0
2022,KKR v PBKS,Kagiso Rabada,25,16,156.25
2022,KKR v PBKS,Arshdeep Singh,0,1,0
2022,KKR v PBKS,Ajinkya Rahane,12,11,109.09
2022,KKR v PBKS,Venkatesh Iyer,3,7,42.85
2022,KKR v PBKS,Shreyas Iyer,26,15,173.33
2022,KKR v PBKS,Sam Billings,24,23,104.34
2022,KKR v PBKS,Nitish Rana,0,2,0
2022,KKR v PBKS,Andre Russell,70,31,225.8
2022,MI v RR,Jos Buttler,100,68,147.05
2022,MI v RR,Yashasvi Jaiswal,1,2,50
2022,MI v RR,Devdutt Padikkal,7,7,100
2022,MI v RR,Sanju Samson,30,21,142.85
2022,MI v RR,Shimron Hetmyer,35,14,250
2022,MI v RR,Riyan Parag,5,4,125
2022,MI v RR,Ravichandran Ashwin,1,1,100
2022,MI v RR,Navdeep Saini,2,2,100
2022,MI v RR,Trent Boult,1,1,100
2022,MI v RR,Ishan Kishan,54,43,125.58
2022,MI v RR,Rohit Sharma,10,5,200
2022,MI v RR,Anmolpreet Singh,5,4,125
2022,MI v RR,Tilak Varma,61,33,184.84
