season,match_name,fullName,overs,conceded,wickets,economyRate
2017,SRH v RCB,Tymal Mills,4,31,1,7.75
2017,SRH v RCB,Aniket Choudhary,4,55,1,13.75
2017,SRH v RCB,Yuzvendra Chahal,4,22,1,5.5
2017,SRH v RCB,Sreenath Aravind,3,36,0,12
2017,SRH v RCB,Shane Watson,3,41,0,13.66
2017,SRH v RCB,Travis Head,1,11,0,11
2017,SRH v RCB,Stuart Binny,1,10,1,10
2017,SRH v RCB,Ashish Nehra,4,42,2,10.5
2017,SRH v RCB,Bhuvneshwar Kumar,4,27,2,6.75
2017,SRH v RCB,Ben Cutting,3.4,35,0,9.54
2017,SRH v RCB,Rashid Khan,4,36,2,9
2017,SRH v RCB,Deepak Hooda,1,7,1,7
2017,SRH v RCB,Moises Henriques,2,20,0,10
2017,SRH v RCB,Bipul Sharma,1,4,1,4
2017,RPS v MI,Ashok Dinda,4,57,0,14.25
2017,RPS v MI,Deepak Chahar,2,21,0,10.5
2017,RPS v MI,Ben Stokes,4,36,1,9
2017,RPS v MI,Imran Tahir,4,28,3,7
2017,RPS v MI,Adam Zampa,3,26,1,8.66
2017,RPS v MI,Rajat Bhatia,3,14,2,4.66
2017,RPS v MI,Tim Southee,4,34,1,8.5
2017,RPS v MI,Hardik Pandya,4,36,1,9
2017,RPS v MI,Mitchell McClenaghan,4,36,1,9
2017,RPS v MI,Jasprit Bumrah,4,29,0,7.25
2017,RPS v MI,Krunal Pandya,2,21,0,10.5
2017,RPS v MI,Kieron Pollard,1.5,30,0,16.36
2017,GL v KKR,Trent Boult,4,40,1,10
2017,GL v KKR,Piyush Chawla,4,33,1,8.25
2017,GL v KKR,Sunil Narine,4,33,0,8.25
2017,GL v KKR,Chris Woakes,3,35,0,11.66
2017,GL v KKR,Kuldeep Yadav,4,25,2,6.25
2017,GL v KKR,Yusuf Pathan,1,15,0,15
2017,GL v KKR,Praveen Kumar,2,13,0,6.5
2017,GL v KKR,Dhawal Kulkarni,2.5,42,0,14.82
2017,GL v KKR,Manpreet Gony,2,32,0,16
2017,GL v KKR,Shivil Kaushik,4,40,0,10
2017,GL v KKR,Dwayne Smith,1,23,0,23
2017,GL v KKR,Shadab Jakati,3,30,0,10
2017,KXIP v RPS,Sandeep Sharma,4,33,2,8.25
2017,KXIP v RPS,Mohit Sharma,4,34,0,8.5
2017,KXIP v RPS,Axar Patel,4,27,1,6.75
2017,KXIP v RPS,T Natarajan,3,26,1,8.66
2017,KXIP v RPS,Marcus Stoinis,3,28,1,9.33
2017,KXIP v RPS,Swapnil Singh,2,14,1,7
2017,KXIP v RPS,Ashok Dinda,3,26,1,8.66
2017,KXIP v RPS,Daniel Christian,2,24,0,12
2017,KXIP v RPS,Ben Stokes,4,32,0,8
2017,KXIP v RPS,Imran Tahir,4,29,2,7.25
2017,KXIP v RPS,Rahul Chahar,4,32,1,8
2017,KXIP v RPS,Rajat Bhatia,2,20,0,10
2017,RCB v DC,Zaheer Khan,4,31,2,7.75
2017,RCB v DC,Chris Morris,4,21,3,5.25
2017,RCB v DC,Pat Cummins,4,29,1,7.25
2017,RCB v DC,Shahbaz Nadeem,4,13,1,3.25
2017,RCB v DC,Amit Mishra,2,32,0,16
2017,RCB v DC,Carlos Brathwaite,2,29,0,14.5
2017,RCB v DC,Billy Stanlake,4,29,2,7.25
2017,RCB v DC,Yuzvendra Chahal,4,19,1,4.75
2017,RCB v DC,Iqbal Abdulla,3,36,2,12
2017,RCB v DC,Tymal Mills,4,33,1,8.25
2017,RCB v DC,Shane Watson,4,21,1,5.25
2017,RCB v DC,Pawan Negi,1,3,2,3
2017,SRH v GL,Bipul Sharma,4,24,0,6
2017,SRH v GL,Bhuvneshwar Kumar,4,21,2,5.25
2017,SRH v GL,Ashish Nehra,4,27,1,6.75
2017,SRH v GL,Rashid Khan,4,19,3,4.75
2017,SRH v GL,Ben Cutting,3,29,0,9.66
2017,SRH v GL,Moises Henriques,1,12,0,12
2017,SRH v GL,Suresh Raina,2,24,0,12
2017,SRH v GL,Praveen Kumar,2,16,1,8
2017,SRH v GL,Tejas Baroka,3.3,33,0,9.42
2017,SRH v GL,Dhawal Kulkarni,2,17,0,8.5
2017,SRH v GL,Shivil Kaushik,4,29,0,7.25
2017,SRH v GL,Basil Thampi,2,21,0,10.5
2017,MI v KKR,Lasith Malinga,4,36,2,9
2017,MI v KKR,Mitchell McClenaghan,4,51,1,12.75
2017,MI v KKR,Jasprit Bumrah,4,39,1,9.75
2017,MI v KKR,Krunal Pandya,4,24,3,6
2017,MI v KKR,Harbhajan Singh,4,27,0,6.75
2017,MI v KKR,Trent Boult,3.5,47,0,12.26
2017,MI v KKR,Chris Woakes,4,34,1,8.5
2017,MI v KKR,Sunil Narine,4,22,1,5.5
2017,MI v KKR,Kuldeep Yadav,4,35,1,8.75
2017,MI v KKR,Ankit Rajpoot,4,37,3,9.25
2017,KXIP v RCB,Axar Patel,4,12,1,3
2017,KXIP v RCB,Sandeep Sharma,4,26,1,6.5
2017,KXIP v RCB,Mohit Sharma,4,47,0,11.75
2017,KXIP v RCB,Varun Aaron,4,21,2,5.25
2017,KXIP v RCB,T Natarajan,1,13,0,13
2017,KXIP v RCB,Marcus Stoinis,3,28,0,9.33
2017,KXIP v RCB,Billy Stanlake,4,41,0,10.25
2017,KXIP v RCB,Iqbal Abdulla,2,19,0,9.5
2017,KXIP v RCB,Shane Watson,2,28,0,14
2017,KXIP v RCB,Tymal Mills,2,22,1,11
2017,KXIP v RCB,Yuzvendra Chahal,3.3,29,1,8.28
2017,KXIP v RCB,Pawan Negi,1,7,0,7
2017,RPS v DC,Ashok Dinda,3,36,0,12
2017,RPS v DC,Deepak Chahar,3,35,1,11.66
2017,RPS v DC,Ben Stokes,4,41,0,10.25
2017,RPS v DC,Imran Tahir,4,24,1,6
2017,RPS v DC,Adam Zampa,4,45,1,11.25
2017,RPS v DC,Rajat Bhatia,2,21,0,10.5
2017,RPS v DC,Shahbaz Nadeem,4,23,1,5.75
2017,RPS v DC,Pat Cummins,3.1,24,2,7.57
2017,RPS v DC,Zaheer Khan,3,20,3,6.66
2017,RPS v DC,Chris Morris,2,19,1,9.5
2017,RPS v DC,Corey Anderson,1,10,0,10
2017,RPS v DC,Amit Mishra,3,11,3,3.66
2017,MI v SRH,Harbhajan Singh,4,23,2,5.75
2017,MI v SRH,Lasith Malinga,4,30,1,7.5
2017,MI v SRH,Jasprit Bumrah,4,24,3,6
2017,MI v SRH,Mitchell McClenaghan,4,42,1,10.5
2017,MI v SRH,Hardik Pandya,3,22,1,7.33
2017,MI v SRH,Krunal Pandya,1,12,0,12
2017,MI v SRH,Bhuvneshwar Kumar,4,21,3,5.25
2017,MI v SRH,Ashish Nehra,4,46,1,11.5
2017,MI v SRH,Rashid Khan,4,19,1,4.75
2017,MI v SRH,Mustafizur Rahman,2.4,34,0,12.75
2017,MI v SRH,Deepak Hooda,2,18,1,9
2017,MI v SRH,Ben Cutting,2,18,0,9
2017,KKR v KXIP,Trent Boult,4,36,0,9
2017,KKR v KXIP,Umesh Yadav,4,33,4,8.25
2017,KKR v KXIP,Chris Woakes,3,30,2,10
2017,KKR v KXIP,Sunil Narine,4,19,1,4.75
2017,KKR v KXIP,Piyush Chawla,3,36,1,12
2017,KKR v KXIP,Colin de Grandhomme,2,15,1,7.5
2017,KKR v KXIP,Sandeep Sharma,3,28,0,9.33
2017,KKR v KXIP,Ishant Sharma,2,16,0,8
2017,KKR v KXIP,Glenn Maxwell,1,18,0,18
2017,KKR v KXIP,Varun Aaron,2,23,1,11.5
2017,KKR v KXIP,Mohit Sharma,3,30,0,10
2017,KKR v KXIP,Axar Patel,4,36,1,9
2017,KKR v KXIP,Marcus Stoinis,1.3,14,0,9.33
2017,RCB v MI,Tim Southee,2,23,0,11.5
2017,RCB v MI,Harbhajan Singh,4,23,0,5.75
2017,RCB v MI,Mitchell McClenaghan,4,20,2,5
2017,RCB v MI,Jasprit Bumrah,4,39,0,9.75
2017,RCB v MI,Hardik Pandya,2,9,1,4.5
2017,RCB v MI,Krunal Pandya,4,21,1,5.25
2017,RCB v MI,Samuel Badree,4,9,4,2.25
2017,RCB v MI,Stuart Binny,2,14,1,7
