season,match_name,fullName,runs,ballsFaced,strikeRate
2013,KKR v DC,Unmukt Chand,0,1,0
2013,KKR v DC,David Warner,21,19,110.52
2013,KKR v DC,Mahela Jayawardene,66,52,126.92
2013,KKR v DC,Manprit Juneja,8,9,88.88
2013,KKR v DC,Naman Ojha,9,9,100
2013,KKR v DC,Johan Botha,7,6,116.66
2013,KKR v DC,Irfan Pathan,4,7,57.14
2013,KKR v DC,Andre Russell,4,8,50
2013,KKR v DC,Shahbaz Nadeem,4,8,50
2013,KKR v DC,Ashish Nehra,0,1,0
2013,KKR v DC,Umesh Yadav,0,0,0
2013,KKR v DC,Manvinder  Bisla,4,9,44.44
2013,KKR v DC,Gautam Gambhir,41,29,141.37
2013,KKR v DC,Jacques Kallis,23,20,115
2013,KKR v DC,Manoj Tiwary,23,23,100
2013,KKR v DC,Eoin Morgan,14,15,93.33
2013,KKR v DC,Yusuf Pathan,18,16,112.5
2013,RCB v MI,Chris Gayle,92,58,158.62
2013,RCB v MI,Tillakaratne Dilshan,0,8,0
2013,RCB v MI,Virat Kohli,24,14,171.42
2013,RCB v MI,Mayank Agarwal,1,5,20
2013,RCB v MI,Daniel Christian,4,13,30.76
2013,RCB v MI,Karun Nair,0,3,0
2013,RCB v MI,Arun Karthik,19,19,100
2013,RCB v MI,Ricky Ponting,28,33,84.84
2013,RCB v MI,Sachin Tendulkar,23,19,121.05
2013,RCB v MI,Dinesh Karthik,60,37,162.16
2013,RCB v MI,Rohit Sharma,11,11,100
2013,RCB v MI,Ambati Rayudu,18,18,100
2013,RCB v MI,Kieron Pollard,5,2,250
2013,RCB v MI,Harbhajan Singh,1,1,100
2013,SRH v PWI,Akshath Reddy,27,30,90
2013,SRH v PWI,Parthiv Patel,19,18,105.55
2013,SRH v PWI,Kumar Sangakkara,15,16,93.75
2013,SRH v PWI,Cameron White,10,18,55.55
2013,SRH v PWI,Thisara Perera,30,18,166.66
2013,SRH v PWI,Hanuma Vihari,11,12,91.66
2013,SRH v PWI,Ashish Reddy,7,4,175
2013,SRH v PWI,Dwaraka Ravi Teja,4,4,100
2013,SRH v PWI,Robin Uthappa,24,22,109.09
2013,SRH v PWI,Manish Pandey,15,29,51.72
2013,SRH v PWI,Marlon Samuels,5,9,55.55
2013,SRH v PWI,Yuvraj Singh,2,5,40
2013,SRH v PWI,Ross Taylor,19,19,100
2013,SRH v PWI,Abhishek Nayar,19,14,135.71
2013,SRH v PWI,Angelo Mathews,8,6,133.33
2013,SRH v PWI,Mitchell Marsh,7,3,233.33
2013,SRH v PWI,Bhuvneshwar Kumar,3,3,100
2013,SRH v PWI,Rahul Sharma,0,1,0
2013,SRH v PWI,Ashok Dinda,0,2,0
2013,DC v RR,Kusal Perera,14,12,116.66
2013,DC v RR,Ajinkya Rahane,28,24,116.66
2013,DC v RR,Rahul Dravid,65,51,127.45
2013,DC v RR,Stuart Binny,40,20,200
2013,DC v RR,Brad Hodge,5,7,71.42
2013,DC v RR,Kevon Cooper,2,2,100
2013,DC v RR,Ashok Menaria,1,2,50
2013,DC v RR,Sreesanth,0,0,0
2013,DC v RR,Rahul Shukla,1,2,50
2013,DC v RR,David Warner,77,56,137.5
2013,DC v RR,Unmukt Chand,23,19,121.05
2013,DC v RR,Mahela Jayawardene,19,16,118.75
2013,DC v RR,Manprit Juneja,20,18,111.11
2013,DC v RR,Andre Russell,7,6,116.66
2013,DC v RR,Johan Botha,2,3,66.66
2013,DC v RR,Irfan Pathan,1,1,100
2013,DC v RR,Naman Ojha,0,1,0
2013,CSK v MI,Ricky Ponting,6,10,60
2013,CSK v MI,Sachin Tendulkar,0,1,0
2013,CSK v MI,Dinesh Karthik,37,25,148
2013,CSK v MI,Rohit Sharma,8,10,80
2013,CSK v MI,Ambati Rayudu,7,10,70
2013,CSK v MI,Kieron Pollard,57,38,150
2013,CSK v MI,Dwayne Smith,3,5,60
2013,CSK v MI,Harbhajan Singh,21,21,100
2013,CSK v MI,Michael Hussey,20,23,86.95
2013,CSK v MI,Murali Vijay,5,8,62.5
2013,CSK v MI,Suresh Raina,10,7,142.85
2013,CSK v MI,Dwayne Bravo,10,17,58.82
2013,CSK v MI,S Badrinath,16,16,100
2013,CSK v MI,MS Dhoni,51,26,196.15
2013,CSK v MI,Ravindra Jadeja,16,11,145.45
2013,CSK v MI,Ravichandran Ashwin,2,5,40
2013,CSK v MI,Ben Laughlin,0,1,0
2013,CSK v MI,Ankit Rajpoot,2,6,33.33
2013,CSK v MI,Dirk Nannes,0,0,0
2013,PWI v KXIP,Robin Uthappa,19,23,82.6
2013,PWI v KXIP,Manish Pandey,0,4,0
2013,PWI v KXIP,Tirumalasetti Suman,6,14,42.85
2013,PWI v KXIP,Marlon Samuels,3,9,33.33
2013,PWI v KXIP,Ross Taylor,15,19,78.94
2013,PWI v KXIP,Angelo Mathews,4,4,100
2013,PWI v KXIP,Abhishek Nayar,25,26,96.15
2013,PWI v KXIP,Mitchell Marsh,15,8,187.5
2013,PWI v KXIP,Bhuvneshwar Kumar,8,12,66.66
2013,PWI v KXIP,Rahul Sharma,1,1,100
2013,PWI v KXIP,Adam Gilchrist,15,10,150
2013,PWI v KXIP,Mandeep Singh,31,26,119.23
2013,PWI v KXIP,Manan Vohra,43,28,153.57
2013,PWI v KXIP,David Hussey,8,11,72.72
2013,SRH v RCB,Chris Gayle,1,2,50
2013,SRH v RCB,Tillakaratne Dilshan,5,9,55.55
2013,SRH v RCB,Virat Kohli,46,44,104.54
2013,SRH v RCB,Karun Nair,9,9,100
2013,SRH v RCB,Moises Henriques,44,40,110
2013,SRH v RCB,Mayank Agarwal,7,8,87.5
2013,SRH v RCB,Arun Karthik,0,1,0
2013,SRH v RCB,Vinay Kumar,7,4,175
2013,SRH v RCB,Murali Kartik,2,2,100
2013,SRH v RCB,Jaydev Unadkat,1,1,100
2013,SRH v RCB,Akshath Reddy,23,21,109.52
2013,SRH v RCB,Parthiv Patel,2,4,50
2013,SRH v RCB,Cameron White,5,9,55.55
2013,SRH v RCB,Hanuma Vihari,44,46,95.65
2013,SRH v RCB,Kumar Sangakkara,16,17,94.11
2013,SRH v RCB,Thisara Perera,7,8,87.5
2013,SRH v RCB,Amit Mishra,0,0,0
2013,SRH v RCB,Ashish Reddy,14,12,116.66
2013,SRH v RCB,Dale Steyn,3,3,100
2013,RR v KKR,Shane Watson,5,10,50
2013,RR v KKR,Ajinkya Rahane,36,34,105.88
2013,RR v KKR,Rahul Dravid,17,20,85
2013,RR v KKR,Stuart Binny,14,11,127.27
2013,RR v KKR,Brad Hodge,46,31,148.38
2013,RR v KKR,Kevon Cooper,0,2,0
2013,RR v KKR,Dishant Yagnik,16,11,145.45
2013,RR v KKR,Sreesanth,1,2,50
2013,RR v KKR,Manvinder  Bisla,1,4,25
2013,RR v KKR,Gautam Gambhir,22,22,100
2013,RR v KKR,Jacques Kallis,0,1,0
2013,RR v KKR,Manoj Tiwary,14,13,107.69
2013,RR v KKR,Eoin Morgan,51,38,134.21
2013,RR v KKR,Yusuf Pathan,0,2,0
2013,RR v KKR,Laxmi Shukla,2,9,22.22
2013,RR v KKR,Rajat Bhatia,12,7,171.42
2013,RR v KKR,Brett Lee,5,6,83.33
2013,RR v KKR,Mohammed Shami,5,10,50
2013,RR v KKR,Sunil Narine,2,2,100
2013,RCB v SRH,Akshath Reddy,12,11,109.09
2013,RCB v SRH,Parthiv Patel,20,19,105.26
2013,RCB v SRH,Kumar Sangakkara,23,24,95.83
2013,RCB v SRH,Cameron White,52,34,152.94
2013,RCB v SRH,Thisara Perera,40,24,166.66
2013,RCB v SRH,Ashish Reddy,3,4,75
2013,RCB v SRH,Hanuma Vihari,4,3,133.33
2013,RCB v SRH,Biplab Samantray,2,2,100
2013,RCB v SRH,Mayank Agarwal,29,20,145
2013,RCB v SRH,Chris Gayle,13,15,86.66
2013,RCB v SRH,Virat Kohli,93,47,197.87
2013,RCB v SRH,AB de Villiers,15,15,100
2013,RCB v SRH,Moises Henriques,7,9,77.77
2013,MI v DC,Ricky Ponting,0,6,0
2013,MI v DC,Sachin Tendulkar,1,1,100
2013,MI v DC,Dinesh Karthik,86,48,179.16
2013,MI v DC,Rohit Sharma,74,50,148
2013,MI v DC,Kieron Pollard,13,7,185.71
2013,MI v DC,Ambati Rayudu,24,8,300
2013,MI v DC,Harbhajan Singh,1,1,100
2013,MI v DC,Unmukt Chand,0,1,0
2013,MI v DC,David Warner,61,37,164.86
2013,MI v DC,Mahela Jayawardene,3,6,50
2013,MI v DC,Manprit Juneja,49,40,122.5
2013,MI v DC,Jeevan Mendis,0,1,0
2013,MI v DC,Irfan Pathan,10,12,83.33
2013,MI v DC,Kedar Jadhav,1,2,50
