season,match_name,fullName,runs,ballsFaced,strikeRate
2016,MI v RPS,Lendl Simmons,8,8,100
2016,MI v RPS,Rohit Sharma,7,5,140
2016,MI v RPS,Hardik Pandya,9,11,81.81
2016,MI v RPS,Jos Buttler,0,2,0
2016,MI v RPS,Ambati Rayudu,22,27,81.48
2016,MI v RPS,Kieron Pollard,1,8,12.5
2016,MI v RPS,Shreyas Gopal,2,16,12.5
2016,MI v RPS,Harbhajan Singh,45,30,150
2016,MI v RPS,Vinay Kumar,12,11,109.09
2016,MI v RPS,Mitchell McClenaghan,2,2,100
2016,MI v RPS,Ajinkya Rahane,66,42,157.14
2016,MI v RPS,Faf du Plessis,34,33,103.03
2016,MI v RPS,Kevin Pietersen,21,14,150
2016,KKR v DC,Mayank Agarwal,9,11,81.81
2016,KKR v DC,Quinton de Kock,17,10,170
2016,KKR v DC,Shreyas Iyer,0,3,0
2016,KKR v DC,Karun Nair,3,8,37.5
2016,KKR v DC,Sanju Samson,15,13,115.38
2016,KKR v DC,Pawan Negi,11,19,57.89
2016,KKR v DC,Carlos Brathwaite,6,4,150
2016,KKR v DC,Chris Morris,11,9,122.22
2016,KKR v DC,Nathan Coulter0Nile,7,11,63.63
2016,KKR v DC,Amit Mishra,3,9,33.33
2016,KKR v DC,Zaheer Khan,4,9,44.44
2016,KKR v DC,Robin Uthappa,35,33,106.06
2016,KKR v DC,Gautam Gambhir,38,41,92.68
2016,KKR v DC,Manish Pandey,15,12,125
2016,KXIP v GL,Murali Vijay,42,34,123.52
2016,KXIP v GL,Manan Vohra,38,23,165.21
2016,KXIP v GL,David Miller,15,10,150
2016,KXIP v GL,Glenn Maxwell,2,4,50
2016,KXIP v GL,Wriddhiman Saha,20,25,80
2016,KXIP v GL,Marcus Stoinis,33,22,150
2016,KXIP v GL,Axar Patel,4,2,200
2016,KXIP v GL,Mitchell Johnson,0,0,0
2016,KXIP v GL,Aaron Finch,74,47,157.44
2016,KXIP v GL,Brendon McCullum,0,2,0
2016,KXIP v GL,Suresh Raina,20,9,222.22
2016,KXIP v GL,Dinesh Karthik,41,26,157.69
2016,KXIP v GL,Ravindra Jadeja,8,12,66.66
2016,KXIP v GL,Ishan Kishan,11,8,137.5
2016,KXIP v GL,Dwayne Bravo,2,2,100
2016,RCB v SRH,Chris Gayle,1,4,25
2016,RCB v SRH,Virat Kohli,75,51,147.05
2016,RCB v SRH,AB de Villiers,82,42,195.23
2016,RCB v SRH,Shane Watson,19,8,237.5
2016,RCB v SRH,Sarfaraz Khan,35,10,350
2016,RCB v SRH,Kedar Jadhav,8,6,133.33
2016,RCB v SRH,David Warner,58,25,232
2016,RCB v SRH,Shikhar Dhawan,8,9,88.88
2016,RCB v SRH,Moises Henriques,19,23,82.6
2016,RCB v SRH,Naman Ojha,0,4,0
2016,RCB v SRH,Deepak Hooda,6,6,100
2016,RCB v SRH,Eoin Morgan,22,18,122.22
2016,RCB v SRH,Ashish Reddy,32,18,177.77
2016,RCB v SRH,Karn Sharma,26,17,152.94
2016,KKR v MI,Robin Uthappa,8,10,80
2016,KKR v MI,Gautam Gambhir,64,52,123.07
2016,KKR v MI,Manish Pandey,52,29,179.31
2016,KKR v MI,Andre Russell,36,17,211.76
2016,KKR v MI,Yusuf Pathan,9,6,150
2016,KKR v MI,Colin Munro,4,5,80
2016,KKR v MI,Suryakumar Yadav,4,1,400
2016,KKR v MI,Rohit Sharma,84,54,155.55
2016,KKR v MI,Parthiv Patel,23,20,115
2016,KKR v MI,Hardik Pandya,9,10,90
2016,KKR v MI,Mitchell McClenaghan,20,8,250
2016,KKR v MI,Jos Buttler,41,22,186.36
2016,KKR v MI,Kieron Pollard,1,1,100
2016,GL v RPS,Ajinkya Rahane,21,17,123.52
2016,GL v RPS,Faf du Plessis,69,43,160.46
2016,GL v RPS,Kevin Pietersen,37,31,119.35
2016,GL v RPS,Steven Smith,5,6,83.33
2016,GL v RPS,MS Dhoni,22,10,220
2016,GL v RPS,Mitchell Marsh,7,11,63.63
2016,GL v RPS,Rajat Bhatia,0,2,0
2016,GL v RPS,Aaron Finch,50,36,138.88
2016,GL v RPS,Brendon McCullum,49,31,158.06
2016,GL v RPS,Suresh Raina,24,24,100
2016,GL v RPS,Dwayne Bravo,22,10,220
2016,GL v RPS,Ravindra Jadeja,4,8,50
2016,DC v KXIP,Murali Vijay,1,5,20
2016,DC v KXIP,Manan Vohra,32,24,133.33
2016,DC v KXIP,Shaun Marsh,13,16,81.25
2016,DC v KXIP,David Miller,9,9,100
2016,DC v KXIP,Glenn Maxwell,0,3,0
2016,DC v KXIP,Axar Patel,11,22,50
2016,DC v KXIP,Wriddhiman Saha,3,7,42.85
2016,DC v KXIP,Mitchell Johnson,4,12,33.33
2016,DC v KXIP,Mohit Sharma,15,8,187.5
2016,DC v KXIP,Pardeep Sahu,18,12,150
2016,DC v KXIP,Sandeep Sharma,1,2,50
2016,DC v KXIP,Quinton de Kock,59,42,140.47
2016,DC v KXIP,Shreyas Iyer,3,5,60
2016,DC v KXIP,Sanju Samson,33,32,103.12
2016,DC v KXIP,Pawan Negi,8,2,400
2016,SRH v KKR,David Warner,13,12,108.33
2016,SRH v KKR,Shikhar Dhawan,6,7,85.71
2016,SRH v KKR,Moises Henriques,6,9,66.66
2016,SRH v KKR,Eoin Morgan,51,43,118.6
2016,SRH v KKR,Deepak Hooda,6,11,54.54
2016,SRH v KKR,Naman Ojha,37,28,132.14
2016,SRH v KKR,Ashish Reddy,13,8,162.5
2016,SRH v KKR,Karn Sharma,2,2,100
2016,SRH v KKR,Bhuvneshwar Kumar,0,1,0
2016,SRH v KKR,Robin Uthappa,38,34,111.76
2016,SRH v KKR,Gautam Gambhir,90,60,150
2016,SRH v KKR,Andre Russell,2,5,40
2016,SRH v KKR,Manish Pandey,11,11,100
2016,MI v GL,Rohit Sharma,7,9,77.77
2016,MI v GL,Parthiv Patel,34,29,117.24
2016,MI v GL,Hardik Pandya,2,6,33.33
2016,MI v GL,Jos Buttler,16,21,76.19
2016,MI v GL,Kieron Pollard,1,3,33.33
2016,MI v GL,Ambati Rayudu,20,19,105.26
2016,MI v GL,Harbhajan Singh,8,13,61.53
2016,MI v GL,Krunal Pandya,20,11,181.81
2016,MI v GL,Tim Southee,25,11,227.27
2016,MI v GL,Mitchell McClenaghan,0,0,0
2016,MI v GL,Aaron Finch,67,54,124.07
2016,MI v GL,Brendon McCullum,6,4,150
2016,MI v GL,Suresh Raina,27,22,122.72
2016,MI v GL,Dinesh Karthik,9,11,81.81
2016,MI v GL,Dwayne Bravo,2,6,33.33
2016,MI v GL,Akshdeep Nath,12,11,109.09
2016,MI v GL,James Faulkner,7,8,87.5
2016,MI v GL,Praveen Kumar,0,2,0
2016,MI v GL,Dhawal Kulkarni,6,3,200
2016,KXIP v RPS,Ajinkya Rahane,9,11,81.81
2016,KXIP v RPS,Faf du Plessis,67,53,126.41
2016,KXIP v RPS,Kevin Pietersen,15,15,100
2016,KXIP v RPS,Thisara Perera,8,9,88.88
2016,KXIP v RPS,Steven Smith,38,26,146.15
2016,KXIP v RPS,MS Dhoni,1,2,50
2016,KXIP v RPS,Irfan Pathan,2,2,100
2016,KXIP v RPS,Ravichandran Ashwin,1,2,50
2016,KXIP v RPS,Murali Vijay,53,49,108.16
2016,KXIP v RPS,Manan Vohra,51,33,154.54
2016,KXIP v RPS,Shaun Marsh,4,6,66.66
2016,KXIP v RPS,David Miller,7,6,116.66
2016,KXIP v RPS,Glenn Maxwell,32,14,228.57
2016,KXIP v RPS,Wriddhiman Saha,4,4,100
2016,RCB v DC,Chris Gayle,0,3,0
2016,RCB v DC,Virat Kohli,79,48,164.58
2016,RCB v DC,AB de Villiers,55,33,166.66
2016,RCB v DC,Shane Watson,33,19,173.68
2016,RCB v DC,Sarfaraz Khan,1,2,50
2016,RCB v DC,Kedar Jadhav,9,11,81.81
2016,RCB v DC,David Wiese,5,4,125
2016,RCB v DC,Quinton de Kock,108,51,211.76
2016,RCB v DC,Shreyas Iyer,0,4,0
2016,RCB v DC,Sanju Samson,9,14,64.28
2016,RCB v DC,Karun Nair,54,42,128.57
2016,RCB v DC,Jean0Paul Duminy,7,5,140
2016,SRH v MI,Martin Guptill,2,4,50
2016,SRH v MI,Parthiv Patel,10,12,83.33
2016,SRH v MI,Ambati Rayudu,54,49,110.2
2016,SRH v MI,Rohit Sharma,5,8,62.5
2016,SRH v MI,Jos Buttler,11,11,100
2016,SRH v MI,Krunal Pandya,49,28,175
2016,SRH v MI,Hardik Pandya,2,5,40
2016,SRH v MI,Harbhajan Singh,1,3,33.33
2016,SRH v MI,David Warner,90,59,152.54
2016,SRH v MI,Shikhar Dhawan,2,4,50
2016,SRH v MI,Moises Henriques,20,22,90.9
2016,SRH v MI,Eoin Morgan,11,12,91.66
2016,SRH v MI,Deepak Hooda,17,9,188.88
2016,KXIP v KKR,Murali Vijay,26,22,118.18
2016,KXIP v KKR,Manan Vohra,8,12,66.66
2016,KXIP v KKR,Shaun Marsh,56,41,136.58
2016,KXIP v KKR,Wriddhiman Saha,8,14,57.14
2016,KXIP v KKR,David Miller,6,6,100
2016,KXIP v KKR,Glenn Maxwell,4,7,57.14
2016,KXIP v KKR,Axar Patel,9,8,112.5
2016,KXIP v KKR,Mohit Sharma,1,3,33.33
2016,KXIP v KKR,Pardeep Sahu,1,1,100
2016,KXIP v KKR,Kyle Abbott,12,6,200
2016,KXIP v KKR,Robin Uthappa,53,28,189.28
2016,KXIP v KKR,Gautam Gambhir,34,34,100
2016,KXIP v KKR,Manish Pandey,12,11,109.09
2016,KXIP v KKR,Shakib Al Hasan,11,15,73.33
2016,KXIP v KKR,Suryakumar Yadav,11,9,122.22
2016,KXIP v KKR,Yusuf Pathan,12,6,200
2016,MI v RCB,Virat Kohli,33,30,110
2016,MI v RCB,KL Rahul,23,14,164.28
2016,MI v RCB,AB de Villiers,29,21,138.09
2016,MI v RCB,Shane Watson,5,10,50
2016,MI v RCB,Travis Head,37,24,154.16
2016,MI v RCB,Sarfaraz Khan,28,18,155.55
2016,MI v RCB,Stuart Binny,1,2,50
2016,MI v RCB,Harshal Patel,0,0,0
2016,MI v RCB,Kane Richardson,1,1,100
2016,MI v RCB,Rohit Sharma,62,44,140.9
2016,MI v RCB,Parthiv Patel,5,6,83.33
2016,MI v RCB,Ambati Rayudu,31,23,134.78
2016,MI v RCB,Jos Buttler,28,14,200
2016,MI v RCB,Kieron Pollard,39,19,205.26
2016,MI v RCB,Hardik Pandya,2,3,66.66
2016,GL v SRH,Aaron Finch,0,4,0
2016,GL v SRH,Brendon McCullum,18,17,105.88
2016,GL v SRH,Suresh Raina,75,51,147.05
2016,GL v SRH,Dinesh Karthik,8,9,88.88
2016,GL v SRH,Dwayne Bravo,8,12,66.66
2016,GL v SRH,Ravindra Jadeja,14,14,100
2016,GL v SRH,Akshdeep Nath,5,10,50
2016,GL v SRH,Dale Steyn,1,2,50
