season,match_name,fullName,runs,ballsFaced,strikeRate
2015,KKR v MI,Rohit Sharma,98,65,150.76
2015,KKR v MI,Aaron Finch,5,5,100
2015,KKR v MI,Aditya Tare,7,7,100
2015,KKR v MI,Ambati Rayudu,0,2,0
2015,KKR v MI,Corey Anderson,55,41,134.14
2015,KKR v MI,Robin Uthappa,9,12,75
2015,KKR v MI,Gautam Gambhir,57,43,132.55
2015,KKR v MI,Manish Pandey,40,24,166.66
2015,KKR v MI,Suryakumar Yadav,46,20,230
2015,KKR v MI,Yusuf Pathan,14,12,116.66
2015,CSK v DC,Dwayne Smith,34,31,109.67
2015,CSK v DC,Brendon McCullum,4,2,200
2015,CSK v DC,Suresh Raina,4,7,57.14
2015,CSK v DC,Faf du Plessis,32,24,133.33
2015,CSK v DC,Ravindra Jadeja,17,18,94.44
2015,CSK v DC,MS Dhoni,30,27,111.11
2015,CSK v DC,Dwayne Bravo,1,3,33.33
2015,CSK v DC,Ravichandran Ashwin,12,8,150
2015,CSK v DC,Mohit Sharma,2,1,200
2015,CSK v DC,Mayank Agarwal,15,12,125
2015,CSK v DC,Chidhambaram Gautam,4,5,80
2015,CSK v DC,Albie Morkel,73,55,132.72
2015,CSK v DC,Shreyas Iyer,7,7,100
2015,CSK v DC,Kedar Jadhav,20,20,100
2015,CSK v DC,Yuvraj Singh,9,6,150
2015,CSK v DC,Jean0Paul Duminy,5,5,100
2015,CSK v DC,Nathan Coulter0Nile,5,4,125
2015,CSK v DC,Amit Mishra,4,4,100
2015,CSK v DC,Imran Tahir,2,2,100
2015,CSK v DC,Domnic Muthuswami,0,0,0
2015,KXIP v RR,Ajinkya Rahane,0,8,0
2015,KXIP v RR,Sanju Samson,5,6,83.33
2015,KXIP v RR,Steven Smith,33,23,143.47
2015,KXIP v RR,Karun Nair,8,11,72.72
2015,KXIP v RR,Stuart Binny,13,16,81.25
2015,KXIP v RR,Deepak Hooda,30,15,200
2015,KXIP v RR,James Faulkner,46,33,139.39
2015,KXIP v RR,Chris Morris,6,8,75
2015,KXIP v RR,Tim Southee,0,0,0
2015,KXIP v RR,Virender Sehwag,0,1,0
2015,KXIP v RR,Murali Vijay,37,32,115.62
2015,KXIP v RR,Wriddhiman Saha,7,4,175
2015,KXIP v RR,Glenn Maxwell,7,5,140
2015,KXIP v RR,Axar Patel,24,28,85.71
2015,KXIP v RR,David Miller,23,21,109.52
2015,KXIP v RR,George Bailey,24,18,133.33
2015,KXIP v RR,Mitchell Johnson,0,4,0
2015,KXIP v RR,Anureet Singh,0,3,0
2015,KXIP v RR,Karanveer Singh,5,4,125
2015,CSK v SRH,Dwayne Smith,27,26,103.84
2015,CSK v SRH,Brendon McCullum,100,56,178.57
2015,CSK v SRH,Suresh Raina,14,12,116.66
