season,match_name,fullName,runs,ballsFaced,strikeRate
2014,MI v KKR,Gautam Gambhir,0,8,0
2014,MI v KKR,Jacques Kallis,72,46,156.52
2014,MI v KKR,Manish Pandey,64,53,120.75
2014,MI v KKR,Robin Uthappa,1,2,50
2014,MI v KKR,Yusuf Pathan,4,4,100
2014,MI v KKR,Shakib Al Hasan,1,2,50
2014,MI v KKR,Suryakumar Yadav,13,5,260
2014,MI v KKR,Michael Hussey,3,13,23.07
2014,MI v KKR,Aditya Tare,24,22,109.09
2014,MI v KKR,Ambati Rayudu,48,40,120
2014,MI v KKR,Rohit Sharma,27,20,135
2014,MI v KKR,Kieron Pollard,6,8,75
2014,MI v KKR,Corey Anderson,2,8,25
2014,MI v KKR,Harbhajan Singh,0,2,0
2014,MI v KKR,Chidhambaram Gautam,7,7,100
2014,DC v RCB,Mayank Agarwal,6,10,60
2014,DC v RCB,Murali Vijay,18,20,90
2014,DC v RCB,Dinesh Karthik,0,1,0
2014,DC v RCB,Manoj Tiwary,1,3,33.33
2014,DC v RCB,Jean0Paul Duminy,67,48,139.58
2014,DC v RCB,Ross Taylor,43,39,110.25
2014,DC v RCB,Parthiv Patel,37,28,132.14
2014,DC v RCB,Nic Maddinson,4,6,66.66
2014,DC v RCB,Virat Kohli,49,38,128.94
2014,DC v RCB,Yuvraj Singh,52,29,179.31
2014,CSK v KXIP,Dwayne Smith,66,43,153.48
2014,CSK v KXIP,Brendon McCullum,67,45,148.88
2014,CSK v KXIP,Suresh Raina,24,19,126.31
2014,CSK v KXIP,MS Dhoni,26,11,236.36
2014,CSK v KXIP,Dwayne Bravo,8,3,266.66
2014,CSK v KXIP,Cheteshwar Pujara,13,10,130
2014,CSK v KXIP,Virender Sehwag,19,10,190
2014,CSK v KXIP,Glenn Maxwell,95,43,220.93
2014,CSK v KXIP,Axar Patel,2,3,66.66
2014,CSK v KXIP,David Miller,54,37,145.94
2014,CSK v KXIP,George Bailey,17,10,170
2014,SRH v RR,Aaron Finch,2,5,40
2014,SRH v RR,Shikhar Dhawan,38,34,111.76
2014,SRH v RR,David Warner,32,35,91.42
2014,SRH v RR,KL Rahul,20,18,111.11
2014,SRH v RR,Daren Sammy,6,11,54.54
2014,SRH v RR,Venugopal Rao,16,12,133.33
2014,SRH v RR,Karn Sharma,4,5,80
2014,SRH v RR,Dale Steyn,0,0,0
2014,SRH v RR,Abhishek Nayar,4,3,133.33
2014,SRH v RR,Ajinkya Rahane,59,53,111.32
2014,SRH v RR,Sanju Samson,3,9,33.33
2014,SRH v RR,Shane Watson,3,7,42.85
2014,SRH v RR,Stuart Binny,48,32,150
2014,SRH v RR,Brad Hodge,1,8,12.5
2014,SRH v RR,Rajat Bhatia,4,3,133.33
2014,SRH v RR,James Faulkner,8,2,400
2014,RCB v MI,Michael Hussey,16,15,106.66
2014,RCB v MI,Aditya Tare,17,18,94.44
2014,RCB v MI,Ambati Rayudu,35,37,94.59
2014,RCB v MI,Rohit Sharma,2,5,40
2014,RCB v MI,Kieron Pollard,3,7,42.85
2014,RCB v MI,Corey Anderson,18,19,94.73
