season,match_name,fullName,overs,conceded,wickets,economyRate
2021,CSK v KKR,Shakib Al Hasan,3,33,0,11
2021,CSK v KKR,Shivam Mavi,4,32,1,8
2021,CSK v KKR,Lockie Ferguson,4,56,0,14
2021,CSK v KKR,Varun Chakravarthy,4,38,0,9.5
2021,CSK v KKR,Sunil Narine,4,26,2,6.5
2021,CSK v KKR,Venkatesh Iyer,1,5,0,5
2021,CSK v KKR,Deepak Chahar,4,32,1,8
2021,CSK v KKR,Josh Hazlewood,4,29,2,7.25
2021,CSK v KKR,Shardul Thakur,4,38,3,9.5
2021,CSK v KKR,Dwayne Bravo,4,29,1,7.25
2021,CSK v KKR,Ravindra Jadeja,4,37,2,9.25
2021,DC v KKR,Shakib Al Hasan,4,28,0,7
2021,DC v KKR,Lockie Ferguson,4,26,1,6.5
2021,DC v KKR,Sunil Narine,4,27,0,6.75
2021,DC v KKR,Varun Chakravarthy,4,26,2,6.5
2021,DC v KKR,Shivam Mavi,4,27,1,6.75
2021,DC v KKR,Anrich Nortje,4,31,2,7.75
2021,DC v KKR,Ravichandran Ashwin,3.5,27,2,7.04
2021,DC v KKR,Avesh Khan,4,22,1,5.5
2021,DC v KKR,Axar Patel,4,32,0,8
2021,DC v KKR,Kagiso Rabada,4,23,2,5.75
2021,RCB v KKR,Shakib Al Hasan,4,24,0,6
2021,RCB v KKR,Shivam Mavi,4,36,0,9
2021,RCB v KKR,Varun Chakravarthy,4,20,0,5
2021,RCB v KKR,Lockie Ferguson,4,30,2,7.5
2021,RCB v KKR,Sunil Narine,4,21,4,5.25
2021,RCB v KKR,Mohammed Siraj,4,19,2,4.75
2021,RCB v KKR,George Garton,3,29,0,9.66
2021,RCB v KKR,Harshal Patel,4,19,2,4.75
2021,RCB v KKR,Yuzvendra Chahal,4,16,2,4
2021,RCB v KKR,Glenn Maxwell,3,25,0,8.33
2021,RCB v KKR,Dan Christian,1.4,29,0,17.4
2021,DC v CSK,Deepak Chahar,3,26,0,8.66
2021,DC v CSK,Josh Hazlewood,4,29,2,7.25
2021,DC v CSK,Shardul Thakur,3,36,0,12
2021,DC v CSK,Ravindra Jadeja,3,23,1,7.66
2021,DC v CSK,Moeen Ali,4,27,1,6.75
2021,DC v CSK,Dwayne Bravo,3,31,1,10.33
2021,DC v CSK,Anrich Nortje,4,31,1,7.75
2021,DC v CSK,Avesh Khan,4,47,1,11.75
2021,DC v CSK,Kagiso Rabada,3,23,0,7.66
2021,DC v CSK,Axar Patel,3,23,0,7.66
2021,DC v CSK,Tom Curran,3.4,29,3,7.9
2021,DC v CSK,Ravichandran Ashwin,2,19,0,9.5
2021,RCB v DC,Glenn Maxwell,3,29,0,9.66
2021,RCB v DC,Mohammed Siraj,4,25,2,6.25
2021,RCB v DC,George Garton,3,20,0,6.66
2021,RCB v DC,Yuzvendra Chahal,4,34,1,8.5
2021,RCB v DC,Harshal Patel,4,34,1,8.5
2021,RCB v DC,Dan Christian,2,19,1,9.5
2021,RCB v DC,Anrich Nortje,4,24,2,6
2021,RCB v DC,Avesh Khan,4,31,0,7.75
2021,RCB v DC,Axar Patel,4,39,1,9.75
2021,RCB v DC,Kagiso Rabada,4,37,0,9.25
2021,RCB v DC,Ravichandran Ashwin,1,11,0,11
2021,RCB v DC,Ripal Patel,3,22,0,7.33
2021,SRH v MI,Mohammad Nabi,3,33,0,11
2021,SRH v MI,Siddarth Kaul,4,56,0,14
2021,SRH v MI,Jason Holder,4,52,4,13
2021,SRH v MI,Umran Malik,4,48,1,12
2021,SRH v MI,Rashid Khan,4,40,2,10
2021,SRH v MI,Abhishek Sharma,1,4,2,4
2021,SRH v MI,Trent Boult,4,30,1,7.5
2021,SRH v MI,Jasprit Bumrah,4,39,2,9.75
2021,SRH v MI,Piyush Chawla,4,38,1,9.5
2021,SRH v MI,Nathan Coulter-Nile,4,40,2,10
2021,SRH v MI,James Neesham,3,28,2,9.33
2021,SRH v MI,Krunal Pandya,1,16,0,16
2021,KKR v RR,Jaydev Unadkat,4,35,0,8.75
2021,KKR v RR,Chris Morris,4,28,1,7
2021,KKR v RR,Chetan Sakariya,4,23,1,5.75
2021,KKR v RR,Mustafizur Rahman,4,31,0,7.75
2021,KKR v RR,Shivam Dube,2,18,0,9
2021,KKR v RR,Rahul Tewatia,1,11,1,11
2021,KKR v RR,Glenn Phillips,1,17,1,17
2021,KKR v RR,Shakib Al Hasan,1,1,1,1
2021,KKR v RR,Shivam Mavi,3.1,21,4,6.63
2021,KKR v RR,Sunil Narine,4,30,0,7.5
2021,KKR v RR,Lockie Ferguson,4,18,3,4.5
2021,KKR v RR,Varun Chakravarthy,4,14,1,3.5
2021,CSK v PBKS,Mohammed Shami,4,22,1,5.5
2021,CSK v PBKS,Harpreet Brar,4,22,0,5.5
2021,CSK v PBKS,Arshdeep Singh,4,35,2,8.75
2021,CSK v PBKS,Chris Jordan,3,20,2,6.66
2021,CSK v PBKS,Ravi Bishnoi,4,25,1,6.25
2021,CSK v PBKS,Moises Henriques,1,9,0,9
2021,CSK v PBKS,Deepak Chahar,4,48,1,12
2021,CSK v PBKS,Josh Hazlewood,3,22,0,7.33
2021,CSK v PBKS,Shardul Thakur,3,28,3,9.33
2021,CSK v PBKS,Ravindra Jadeja,1,9,0,9
2021,CSK v PBKS,Dwayne Bravo,2,32,0,16
2021,RCB v SRH,Mohammed Siraj,3,17,0,5.66
2021,RCB v SRH,George Garton,2,29,1,14.5
2021,RCB v SRH,Shahbaz Ahmed,4,21,0,5.25
2021,RCB v SRH,Harshal Patel,4,33,3,8.25
2021,RCB v SRH,Yuzvendra Chahal,4,27,1,6.75
2021,RCB v SRH,Dan Christian,3,14,2,4.66
2021,RCB v SRH,Bhuvneshwar Kumar,4,25,1,6.25
2021,RCB v SRH,Jason Holder,4,27,1,6.75
2021,RCB v SRH,Siddarth Kaul,4,24,1,6
2021,RCB v SRH,Umran Malik,4,21,1,5.25
2021,RCB v SRH,Rashid Khan,4,39,1,9.75
2021,RR v MI,Trent Boult,4,24,0,6
2021,RR v MI,Jayant Yadav,2,17,0,8.5
2021,RR v MI,Jasprit Bumrah,4,14,2,3.5
2021,RR v MI,Nathan Coulter-Nile,4,14,4,3.5
2021,RR v MI,James Neesham,4,12,3,3
2021,RR v MI,Kieron Pollard,2,9,0,4.5
2021,RR v MI,Mustafizur Rahman,2.2,32,1,13.71
2021,RR v MI,Chetan Sakariya,3,36,1,12
2021,RR v MI,Shreyas Gopal,1,9,0,9
2021,RR v MI,Kuldip Yadav,2,16,0,8
2021,DC v CSK,Anrich Nortje,4,37,1,9.25
2021,DC v CSK,Avesh Khan,4,35,1,8.75
2021,DC v CSK,Axar Patel,4,18,2,4.5
2021,DC v CSK,Kagiso Rabada,4,21,0,5.25
2021,DC v CSK,Ravichandran Ashwin,4,20,1,5
2021,DC v CSK,Deepak Chahar,3,34,1,11.33
2021,DC v CSK,Josh Hazlewood,4,27,1,6.75
2021,DC v CSK,Ravindra Jadeja,4,28,2,7
2021,DC v CSK,Moeen Ali,3,16,0,5.33
2021,DC v CSK,Shardul Thakur,4,13,2,3.25
2021,DC v CSK,Dwayne Bravo,1.4,20,1,12
2021,KKR v SRH,Tim Southee,4,26,2,6.5
2021,KKR v SRH,Shivam Mavi,4,29,2,7.25
2021,KKR v SRH,Varun Chakravarthy,4,26,2,6.5
2021,KKR v SRH,Shakib Al Hasan,4,20,1,5
2021,KKR v SRH,Sunil Narine,4,12,0,3
2021,KKR v SRH,Bhuvneshwar Kumar,4,20,0,5
2021,KKR v SRH,Jason Holder,4,32,2,8
2021,KKR v SRH,Umran Malik,4,27,0,6.75
2021,KKR v SRH,Rashid Khan,4,23,1,5.75
2021,KKR v SRH,Siddarth Kaul,3.4,17,1,4.63
2021,RCB v PBKS,Aiden Markram,1,5,0,5
2021,RCB v PBKS,Mohammed Shami,4,39,3,9.75
2021,RCB v PBKS,Arshdeep Singh,3,42,0,14
2021,RCB v PBKS,Ravi Bishnoi,4,35,0,8.75
2021,RCB v PBKS,Harpreet Brar,4,26,0,6.5
2021,RCB v PBKS,Moises Henriques,4,12,3,3
2021,RCB v PBKS,Mohammed Siraj,4,33,0,8.25
2021,RCB v PBKS,George Garton,4,27,1,6.75
2021,RCB v PBKS,Shahbaz Ahmed,3,29,1,9.66
2021,RCB v PBKS,Harshal Patel,4,27,0,6.75
2021,RCB v PBKS,Yuzvendra Chahal,4,29,3,7.25
2021,RCB v PBKS,Dan Christian,1,11,0,11
2021,RR v CSK,Akash Singh,4,39,0,9.75
2021,RR v CSK,Chetan Sakariya,4,31,1,7.75
2021,RR v CSK,Mustafizur Rahman,4,51,0,12.75
2021,RR v CSK,Rahul Tewatia,4,39,3,9.75
2021,RR v CSK,Mayank Markande,3,26,0,8.66
2021,RR v CSK,Glenn Phillips,1,3,0,3
2021,RR v CSK,Sam Curran,4,55,0,13.75
2021,RR v CSK,Josh Hazlewood,4,54,0,13.5
2021,RR v CSK,Shardul Thakur,4,30,2,7.5
2021,RR v CSK,KM Asif,2.1,18,1,8.3
2021,RR v CSK,Moeen Ali,2.2,23,0,9.85
2021,RR v CSK,Ravindra Jadeja,1,9,0,9
2021,MI v DC,Anrich Nortje,4,19,1,4.75
2021,MI v DC,Avesh Khan,4,15,3,3.75
2021,MI v DC,Ravichandran Ashwin,4,41,1,10.25
2021,MI v DC,Kagiso Rabada,4,33,0,8.25
2021,MI v DC,Axar Patel,4,21,3,5.25
2021,MI v DC,Trent Boult,4,24,1,6
2021,MI v DC,Jayant Yadav,4,31,1,7.75
2021,MI v DC,Krunal Pandya,2.1,18,1,8.3
2021,MI v DC,Jasprit Bumrah,4,29,1,7.25
2021,MI v DC,Nathan Coulter-Nile,4,19,1,4.75
2021,MI v DC,Kieron Pollard,1,9,0,9
2021,KKR v PBKS,Fabian Allen,4,38,0,9.5
2021,KKR v PBKS,Mohammed Shami,4,23,1,5.75
2021,KKR v PBKS,Arshdeep Singh,4,32,3,8
2021,KKR v PBKS,Nathan Ellis,4,46,0,11.5
2021,KKR v PBKS,Ravi Bishnoi,4,22,2,5.5
2021,KKR v PBKS,Tim Southee,4,40,0,10
2021,KKR v PBKS,Shivam Mavi,4,31,1,7.75
2021,KKR v PBKS,Varun Chakravarthy,4,24,2,6
2021,KKR v PBKS,Sunil Narine,4,34,1,8.5
2021,KKR v PBKS,Venkatesh Iyer,2.3,30,1,12
2021,KKR v PBKS,Nitish Rana,1,7,0,7
2021,SRH v CSK,Deepak Chahar,4,32,0,8
2021,SRH v CSK,Josh Hazlewood,4,24,3,6
2021,SRH v CSK,Shardul Thakur,4,37,1,9.25
2021,SRH v CSK,Dwayne Bravo,4,17,2,4.25
2021,SRH v CSK,Ravindra Jadeja,3,14,1,4.66
2021,SRH v CSK,Moeen Ali,1,5,0,5
2021,SRH v CSK,Sandeep Sharma,3,18,0,6
2021,SRH v CSK,Bhuvneshwar Kumar,4,34,0,8.5
2021,SRH v CSK,Jason Holder,4,27,3,6.75
2021,SRH v CSK,Rashid Khan,4,27,1,6.75
2021,SRH v CSK,Siddarth Kaul,2.4,24,0,9
2021,SRH v CSK,Abhishek Sharma,2,9,0,4.5
2021,RR v RCB,George Garton,3,30,1,10
2021,RR v RCB,Mohammed Siraj,3,18,0,6
2021,RR v RCB,Glenn Maxwell,2,17,0,8.5
2021,RR v RCB,Harshal Patel,4,34,3,8.5
2021,RR v RCB,Dan Christian,2,21,1,10.5
2021,RR v RCB,Yuzvendra Chahal,4,18,2,4.5
2021,RR v RCB,Shahbaz Ahmed,2,10,2,5
2021,RR v RCB,Chris Morris,4,50,0,12.5
2021,RR v RCB,Kartik Tyagi,2,23,0,11.5
2021,RR v RCB,Chetan Sakariya,3,18,0,6
2021,RR v RCB,Mustafizur Rahman,3,20,2,6.66
2021,RR v RCB,Rahul Tewatia,3,23,0,7.66
2021,RR v RCB,Mahipal Lomror,2,13,0,6.5
2021,RR v RCB,Riyan Parag,0.1,4,0,24
2021,MI v PBKS,Krunal Pandya,4,24,1,6
2021,MI v PBKS,Trent Boult,3,30,0,10
2021,MI v PBKS,Jasprit Bumrah,4,24,2,6
2021,MI v PBKS,Nathan Coulter-Nile,4,19,0,4.75
2021,MI v PBKS,Kieron Pollard,1,8,2,8
2021,MI v PBKS,Rahul Chahar,4,27,1,6.75
2021,MI v PBKS,Aiden Markram,3,18,0,6
2021,MI v PBKS,Mohammed Shami,4,42,1,10.5
2021,MI v PBKS,Arshdeep Singh,4,29,0,7.25
2021,MI v PBKS,Ravi Bishnoi,4,25,2,6.25
2021,MI v PBKS,Nathan Ellis,3,12,1,4
2021,MI v PBKS,Harpreet Brar,1,11,0,11
2021,KKR v DC,Sandeep Warrier,2,15,0,7.5
2021,KKR v DC,Tim Southee,4,29,1,7.25
2021,KKR v DC,Lockie Ferguson,2,10,2,5
2021,KKR v DC,Varun Chakravarthy,4,24,0,6
2021,KKR v DC,Sunil Narine,4,18,2,4.5
2021,KKR v DC,Venkatesh Iyer,4,29,2,7.25
2021,KKR v DC,Anrich Nortje,2.2,15,1,6.42
2021,KKR v DC,Axar Patel,3,13,0,4.33
