season,match_name,fullName,runs,ballsFaced,strikeRate
2020,MI v CSK,Rohit Sharma,12,10,120
2020,MI v CSK,Quinton de Kock,33,20,165
2020,MI v CSK,Suryakumar Yadav,17,16,106.25
2020,MI v CSK,Saurabh Tiwary,42,31,135.48
2020,MI v CSK,Hardik Pandya,14,10,140
2020,MI v CSK,Kieron Pollard,18,14,128.57
2020,MI v CSK,Krunal Pandya,3,3,100
2020,MI v CSK,James Pattinson,11,8,137.5
2020,MI v CSK,Rahul Chahar,2,4,50
2020,MI v CSK,Trent Boult,0,1,0
2020,MI v CSK,Jasprit Bumrah,5,3,166.66
2020,MI v CSK,Murali Vijay,1,7,14.28
2020,MI v CSK,Shane Watson,4,5,80
2020,MI v CSK,Faf du Plessis,58,44,131.81
2020,MI v CSK,Ambati Rayudu,71,48,147.91
2020,MI v CSK,Ravindra Jadeja,10,5,200
2020,MI v CSK,Sam Curran,18,6,300
2020,MI v CSK,MS Dhoni,0,2,0
2020,DC v KXIP,Prithvi Shaw,5,9,55.55
2020,DC v KXIP,Shikhar Dhawan,0,2,0
2020,DC v KXIP,Shimron Hetmyer,7,13,53.84
2020,DC v KXIP,Shreyas Iyer,39,32,121.87
2020,DC v KXIP,Rishabh Pant,31,29,106.89
2020,DC v KXIP,Marcus Stoinis,53,21,252.38
2020,DC v KXIP,Axar Patel,6,9,66.66
2020,DC v KXIP,Ravichandran Ashwin,4,6,66.66
2020,DC v KXIP,Kagiso Rabada,0,0,0
2020,DC v KXIP,Anrich Nortje,3,1,300
2020,DC v KXIP,KL Rahul,21,19,110.52
2020,DC v KXIP,Mayank Agarwal,89,60,148.33
2020,DC v KXIP,Karun Nair,1,3,33.33
2020,DC v KXIP,Nicholas Pooran,0,3,0
2020,DC v KXIP,Glenn Maxwell,1,4,25
2020,DC v KXIP,Sarfaraz Khan,12,12,100
2020,DC v KXIP,Krishnappa Gowtham,20,14,142.85
2020,DC v KXIP,Chris Jordan,5,6,83.33
2020,DC v KXIP,Mohammed Shami,0,0,0
2020,SRH v RCB,Devdutt Padikkal,56,42,133.33
2020,SRH v RCB,Aaron Finch,29,27,107.4
2020,SRH v RCB,Virat Kohli,14,13,107.69
2020,SRH v RCB,AB de Villiers,51,30,170
2020,SRH v RCB,Shivam Dube,7,8,87.5
2020,SRH v RCB,Josh Philippe,1,2,50
2020,SRH v RCB,David Warner,6,6,100
2020,SRH v RCB,Jonny Bairstow,61,43,141.86
2020,SRH v RCB,Manish Pandey,34,33,103.03
2020,SRH v RCB,Priyam Garg,12,13,92.3
2020,SRH v RCB,Vijay Shankar,0,1,0
2020,SRH v RCB,Abhishek Sharma,7,4,175
2020,SRH v RCB,Rashid Khan,6,5,120
2020,SRH v RCB,Bhuvneshwar Kumar,0,2,0
2020,SRH v RCB,Sandeep Sharma,9,6,150
2020,SRH v RCB,Mitchell Marsh,0,1,0
2020,SRH v RCB,T Natarajan,3,4,75
2020,RR v CSK,Yashasvi Jaiswal,6,6,100
2020,RR v CSK,Steven Smith,69,47,146.8
2020,RR v CSK,Sanju Samson,74,32,231.25
2020,RR v CSK,David Miller,0,0,0
2020,RR v CSK,Robin Uthappa,5,9,55.55
2020,RR v CSK,Rahul Tewatia,10,8,125
2020,RR v CSK,Riyan Parag,6,4,150
2020,RR v CSK,Tom Curran,10,9,111.11
2020,RR v CSK,Jofra Archer,27,8,337.5
2020,RR v CSK,Murali Vijay,21,21,100
