season,match_name,fullName,runs,ballsFaced,strikeRate
2011,CSK v KKR,Srikkanth Anirudha,64,55,116.36
2011,CSK v KKR,Murali Vijay,4,4,100
2011,CSK v KKR,Suresh Raina,33,29,113.79
2011,CSK v KKR,MS Dhoni,29,21,138.09
2011,CSK v KKR,Albie Morkel,15,9,166.66
2011,CSK v KKR,Scott Styris,5,2,250
2011,CSK v KKR,Manvinder  Bisla,27,29,93.1
2011,CSK v KKR,Jacques Kallis,54,42,128.57
2011,CSK v KKR,Yusuf Pathan,11,12,91.66
2011,CSK v KKR,Manoj Tiwary,27,15,180
2011,CSK v KKR,Eoin Morgan,6,6,100
2011,CSK v KKR,Gautam Gambhir,1,2,50
2011,CSK v KKR,Laxmi Shukla,14,10,140
2011,CSK v KKR,Rajat Bhatia,0,1,0
2011,CSK v KKR,Iqbal Abdulla,3,3,100
2011,DC v RR,Shikhar Dhawan,24,15,160
2011,DC v RR,Ishank Jaggi,25,28,89.28
2011,DC v RR,Kumar Sangakkara,0,3,0
2011,DC v RR,Bharat Chipli,6,9,66.66
2011,DC v RR,Jean0Paul Duminy,14,17,82.35
2011,DC v RR,Daniel Christian,26,19,136.84
2011,DC v RR,Dwaraka Ravi Teja,28,20,140
2011,DC v RR,Dale Steyn,7,6,116.66
2011,DC v RR,Amit Mishra,2,2,100
2011,DC v RR,Ishant Sharma,1,1,100
2011,DC v RR,Amit Paunikar,20,19,105.26
2011,DC v RR,Rahul Dravid,28,35,80
2011,DC v RR,Johan Botha,67,47,142.55
2011,DC v RR,Ross Taylor,21,14,150
2011,Kochi v RCB,Brendon McCullum,45,32,140.62
2011,Kochi v RCB,VVS Laxman,36,29,124.13
2011,Kochi v RCB,Mahela Jayawardene,18,18,100
2011,Kochi v RCB,Brad Hodge,27,21,128.57
2011,Kochi v RCB,Ravindra Jadeja,23,16,143.75
2011,Kochi v RCB,Raiphi Gomez,0,1,0
2011,Kochi v RCB,Parthiv Patel,1,4,25
2011,Kochi v RCB,Mayank Agarwal,33,24,137.5
2011,Kochi v RCB,Tillakaratne Dilshan,1,4,25
2011,Kochi v RCB,Virat Kohli,23,18,127.77
2011,Kochi v RCB,AB de Villiers,54,40,135
2011,Kochi v RCB,Saurabh Tiwary,26,24,108.33
2011,Kochi v RCB,Asad Pathan,12,4,300
2011,DC v MI,David Warner,1,3,33.33
2011,DC v MI,Virender Sehwag,19,16,118.75
