season,match_name,fullName,runs,ballsFaced,strikeRate
2018,MI v CSK,Rohit Sharma,15,18,83.33
2018,MI v CSK,Evin Lewis,0,2,0
2018,MI v CSK,Ishan Kishan,40,29,137.93
2018,MI v CSK,Suryakumar Yadav,43,29,148.27
2018,MI v CSK,Hardik Pandya,22,20,110
2018,MI v CSK,Krunal Pandya,41,22,186.36
2018,MI v CSK,Shane Watson,16,14,114.28
2018,MI v CSK,Ambati Rayudu,22,19,115.78
2018,MI v CSK,Suresh Raina,4,6,66.66
2018,MI v CSK,Kedar Jadhav,24,22,109.09
2018,MI v CSK,MS Dhoni,5,5,100
2018,MI v CSK,Ravindra Jadeja,12,13,92.3
2018,MI v CSK,Dwayne Bravo,68,30,226.66
2018,MI v CSK,Deepak Chahar,0,1,0
2018,MI v CSK,Harbhajan Singh,8,5,160
2018,MI v CSK,Mark Wood,1,3,33.33
2018,MI v CSK,Imran Tahir,2,2,100
2018,KXIP v DC,Colin Munro,4,6,66.66
2018,KXIP v DC,Gautam Gambhir,55,42,130.95
2018,KXIP v DC,Shreyas Iyer,11,11,100
2018,KXIP v DC,Vijay Shankar,13,13,100
2018,KXIP v DC,Rishabh Pant,28,13,215.38
2018,KXIP v DC,Rahul Tewatia,9,7,128.57
2018,KXIP v DC,Chris Morris,27,16,168.75
2018,KXIP v DC,Daniel Christian,13,13,100
2018,KXIP v DC,KL Rahul,51,16,318.75
2018,KXIP v DC,Mayank Agarwal,7,5,140
2018,KXIP v DC,Yuvraj Singh,12,22,54.54
2018,KXIP v DC,Karun Nair,50,33,151.51
2018,KXIP v DC,David Miller,24,23,104.34
2018,KXIP v DC,Marcus Stoinis,22,15,146.66
2018,KKR v RCB,Brendon McCullum,43,27,159.25
2018,KKR v RCB,Quinton de Kock,4,4,100
2018,KKR v RCB,Virat Kohli,31,33,93.93
2018,KKR v RCB,AB de Villiers,44,23,191.3
2018,KKR v RCB,Sarfaraz Khan,6,10,60
2018,KKR v RCB,Mandeep Singh,37,18,205.55
2018,KKR v RCB,Chris Woakes,5,5,100
2018,KKR v RCB,Washington Sundar,0,0,0
2018,KKR v RCB,Sunil Narine,50,19,263.15
2018,KKR v RCB,Chris Lynn,5,8,62.5
2018,KKR v RCB,Robin Uthappa,13,12,108.33
2018,KKR v RCB,Nitish Rana,34,25,136
2018,KKR v RCB,Dinesh Karthik,35,29,120.68
2018,KKR v RCB,Rinku Singh,6,6,100
2018,KKR v RCB,Andre Russell,15,11,136.36
2018,KKR v RCB,Vinay Kumar,6,3,200
2018,SRH v RR,Ajinkya Rahane,13,13,100
2018,SRH v RR,D'Arcy Short,4,4,100
2018,SRH v RR,Sanju Samson,49,42,116.66
2018,SRH v RR,Ben Stokes,5,8,62.5
2018,SRH v RR,Rahul Tripathi,17,15,113.33
2018,SRH v RR,Jos Buttler,6,9,66.66
2018,SRH v RR,Krishnappa Gowtham,0,2,0
2018,SRH v RR,Shreyas Gopal,18,18,100
2018,SRH v RR,Dhawal Kulkarni,3,4,75
2018,SRH v RR,Jaydev Unadkat,1,2,50
2018,SRH v RR,Ben Laughlin,1,3,33.33
2018,SRH v RR,Wriddhiman Saha,5,5,100
2018,SRH v RR,Shikhar Dhawan,78,57,136.84
2018,SRH v RR,Kane Williamson,36,35,102.85
2018,CSK v KKR,Chris Lynn,22,16,137.5
