season,match_name,fullName,runs,ballsFaced,strikeRate
2009,CSK v MI,Sanath Jayasuriya,26,20,130
2009,CSK v MI,Sachin Tendulkar,59,49,120.4
2009,CSK v MI,Shikhar Dhawan,22,21,104.76
2009,CSK v MI,Jean0Paul Duminy,9,7,128.57
2009,CSK v MI,Dwayne Bravo,5,4,125
2009,CSK v MI,Abhishek Nayar,35,14,250
2009,CSK v MI,Harbhajan Singh,4,2,200
2009,CSK v MI,Zaheer Khan,2,3,66.66
2009,CSK v MI,Pinal Shah,0,0,0
2009,CSK v MI,Parthiv Patel,0,2,0
2009,CSK v MI,Matthew Hayden,44,35,125.71
2009,CSK v MI,Suresh Raina,8,9,88.88
2009,CSK v MI,Andrew Flintoff,24,23,104.34
2009,CSK v MI,MS Dhoni,36,26,138.46
2009,CSK v MI,Jacob Oram,8,6,133.33
2009,CSK v MI,S Badrinath,0,2,0
2009,CSK v MI,Joginder Sharma,16,15,106.66
2009,CSK v MI,Thilan Thushara,1,2,50
2009,RCB v RR,Jesse Ryder,0,2,0
2009,RCB v RR,Robin Uthappa,3,10,30
2009,RCB v RR,Ross Taylor,0,1,0
2009,RCB v RR,Kevin Pietersen,32,30,106.66
2009,RCB v RR,Rahul Dravid,66,48,137.5
2009,RCB v RR,Virat Kohli,3,8,37.5
2009,RCB v RR,Balachandra Akhil,9,9,100
2009,RCB v RR,Praveen Kumar,8,10,80
2009,RCB v RR,Vinay Kumar,8,2,400
2009,RCB v RR,Dale Steyn,0,0,0
2009,RCB v RR,Graeme Smith,2,11,18.18
2009,RCB v RR,Swapnil Asnodkar,0,2,0
2009,RCB v RR,Niraj Patel,4,16,25
2009,RCB v RR,Tyron Henderson,11,15,73.33
2009,RCB v RR,Yusuf Pathan,11,14,78.57
2009,RCB v RR,Dimitri Mascarenhas,0,1,0
2009,RCB v RR,Ravindra Jadeja,11,10,110
2009,RCB v RR,Shane Warne,3,9,33.33
2009,RCB v RR,Mahesh Rawat,4,7,57.14
2009,RCB v RR,Munaf Patel,0,2,0
2009,RCB v RR,Kamran Khan,3,5,60
2009,DC v KXIP,Ravi Bopara,22,16,137.5
2009,DC v KXIP,Karan Goel,38,21,180.95
2009,DC v KXIP,Yuvraj Singh,16,11,145.45
2009,DC v KXIP,Kumar Sangakkara,8,11,72.72
2009,DC v KXIP,Mahela Jayawardene,6,6,100
2009,DC v KXIP,Irfan Pathan,6,7,85.71
2009,DC v KXIP,Piyush Chawla,0,0,0
2009,DC v KXIP,Taruwar Kohli,0,0,0
2009,DC v KXIP,Gautam Gambhir,15,13,115.38
2009,DC v KXIP,Virender Sehwag,38,16,237.5
2009,DC v KKR,Brendon McCullum,1,3,33.33
2009,DC v KKR,Chris Gayle,10,12,83.33
2009,DC v KKR,Sourav Ganguly,1,12,8.33
2009,DC v KKR,Brad Hodge,31,34,91.17
2009,DC v KKR,Aakash Chopra,11,19,57.89
2009,DC v KKR,Laxmi Shukla,8,6,133.33
2009,DC v KKR,Moises Henriques,6,8,75
2009,DC v KKR,Ajit Agarkar,7,3,233.33
2009,DC v KKR,Murali Kartik,10,10,100
2009,DC v KKR,Ishant Sharma,9,9,100
2009,DC v KKR,Ashok Dinda,2,2,100
2009,DC v KKR,Adam Gilchrist,13,11,118.18
2009,DC v KKR,Herschelle Gibbs,43,26,165.38
2009,DC v KKR,VVS Laxman,10,10,100
2009,DC v KKR,Rohit Sharma,36,32,112.5
2009,RCB v CSK,Parthiv Patel,30,26,115.38
2009,RCB v CSK,Matthew Hayden,65,35,185.71
2009,RCB v CSK,Suresh Raina,28,29,96.55
2009,RCB v CSK,MS Dhoni,16,14,114.28
2009,RCB v CSK,Andrew Flintoff,22,13,169.23
2009,RCB v CSK,Albie Morkel,5,3,166.66
2009,RCB v CSK,Praveen Kumar,0,3,0
2009,RCB v CSK,Robin Uthappa,20,19,105.26
2009,RCB v CSK,Jacques Kallis,24,19,126.31
2009,RCB v CSK,Ross Taylor,1,4,25
2009,RCB v CSK,Kevin Pietersen,0,1,0
2009,RCB v CSK,Rahul Dravid,20,18,111.11
2009,RCB v CSK,Virat Kohli,11,13,84.61
2009,RCB v CSK,Rajesh Bishnoi,0,1,0
2009,RCB v CSK,Vinay Kumar,5,6,83.33
2009,RCB v CSK,Dale Steyn,0,3,0
2009,RCB v CSK,Anil Kumble,1,5,20
2009,KXIP v KKR,Ravi Bopara,15,15,100
2009,KXIP v KKR,Karan Goel,0,7,0
2009,KXIP v KKR,Irfan Pathan,32,17,188.23
2009,KXIP v KKR,Kumar Sangakkara,26,24,108.33
2009,KXIP v KKR,Yuvraj Singh,38,28,135.71
2009,KXIP v KKR,Mahela Jayawardene,31,19,163.15
2009,KXIP v KKR,Taruwar Kohli,1,4,25
2009,KXIP v KKR,Piyush Chawla,3,6,50
2009,KXIP v KKR,Brendon McCullum,21,16,131.25
