season,match_name,fullName,runs,ballsFaced,strikeRate
2008,RCB v KKR,Sourav Ganguly,10,12,83.33
2008,RCB v KKR,Brendon McCullum,158,73,216.43
2008,RCB v KKR,Ricky Ponting,20,20,100
2008,RCB v KKR,David Hussey,12,12,100
2008,RCB v KKR,Mohammad Hafeez,5,3,166.66
2008,RCB v KKR,Rahul Dravid,2,3,66.66
2008,RCB v KKR,Wasim Jaffer,6,16,37.5
2008,RCB v KKR,Virat Kohli,1,5,20
2008,RCB v KKR,Jacques Kallis,8,7,114.28
2008,RCB v KKR,Cameron White,6,10,60
2008,RCB v KKR,Mark Boucher,7,9,77.77
2008,RCB v KKR,Balachandra Akhil,0,2,0
2008,RCB v KKR,Ashley Noffke,9,10,90
2008,RCB v KKR,Praveen Kumar,18,15,120
2008,RCB v KKR,Zaheer Khan,3,8,37.5
2008,RCB v KKR,Sunil Joshi,3,6,50
2008,KXIP v CSK,Parthiv Patel,15,10,150
2008,KXIP v CSK,Matthew Hayden,25,17,147.05
2008,KXIP v CSK,Michael Hussey,116,54,214.81
2008,KXIP v CSK,MS Dhoni,2,3,66.66
2008,KXIP v CSK,Suresh Raina,32,13,246.15
2008,KXIP v CSK,Jacob Oram,13,10,130
2008,KXIP v CSK,S Badrinath,31,14,221.42
2008,KXIP v CSK,Karan Goel,24,19,126.31
2008,KXIP v CSK,James Hopes,71,33,215.15
2008,KXIP v CSK,Kumar Sangakkara,54,33,163.63
2008,KXIP v CSK,Yuvraj Singh,23,13,176.92
2008,KXIP v CSK,Simon Katich,21,17,123.52
2008,KXIP v CSK,Irfan Pathan,3,5,60
2008,DC v RR,Taruwar Kohli,7,12,58.33
2008,DC v RR,Yusuf Pathan,10,5,200
2008,DC v RR,Shane Watson,21,15,140
2008,DC v RR,Mohammad Kaif,9,19,47.36
2008,DC v RR,Darren Lehmann,1,2,50
2008,DC v RR,Ravindra Jadeja,29,23,126.08
2008,DC v RR,Mahesh Rawat,2,4,50
2008,DC v RR,Dinesh Salunkhe,26,20,130
