season,match_name,fullName,runs,ballsFaced,strikeRate
2012,CSK v MI,Faf du Plessis,3,2,150
2012,CSK v MI,Murali Vijay,10,17,58.82
2012,CSK v MI,Suresh Raina,36,26,138.46
2012,CSK v MI,Dwayne Bravo,19,19,100
2012,CSK v MI,Albie Morkel,3,8,37.5
2012,CSK v MI,S Badrinath,10,16,62.5
2012,CSK v MI,MS Dhoni,4,6,66.66
2012,CSK v MI,Ravindra Jadeja,3,5,60
2012,CSK v MI,Ravichandran Ashwin,3,5,60
2012,CSK v MI,Shadab Jakati,6,10,60
2012,CSK v MI,Doug Bollinger,3,5,60
2012,CSK v MI,Richard Levi,50,35,142.85
2012,CSK v MI,Sachin Tendulkar,16,15,106.66
2012,CSK v MI,Rohit Sharma,0,3,0
2012,CSK v MI,Ambati Rayudu,18,18,100
2012,CSK v MI,James Franklin,25,30,83.33
2012,KKR v DC,Brendon McCullum,9,7,128.57
2012,KKR v DC,Jacques Kallis,4,4,100
2012,KKR v DC,Gautam Gambhir,16,15,106.66
2012,KKR v DC,Manoj Tiwary,0,1,0
2012,KKR v DC,Yusuf Pathan,0,4,0
2012,KKR v DC,Debabrata Das,18,9,200
2012,KKR v DC,Laxmi Shukla,26,17,152.94
2012,KKR v DC,Rajat Bhatia,7,9,77.77
2012,KKR v DC,Brett Lee,9,5,180
2012,KKR v DC,Iqbal Abdulla,1,1,100
2012,KKR v DC,Aaron Finch,30,27,111.11
2012,KKR v DC,Virender Sehwag,20,13,153.84
2012,KKR v DC,Irfan Pathan,42,20,210
2012,KKR v DC,Glenn Maxwell,3,7,42.85
2012,MI v PWI,Manish Pandey,0,5,0
2012,MI v PWI,Sourav Ganguly,3,6,50
2012,MI v PWI,Wayne Parnell,11,14,78.57
2012,MI v PWI,Robin Uthappa,36,33,109.09
2012,MI v PWI,Callum Ferguson,12,13,92.3
2012,MI v PWI,Steven Smith,39,32,121.87
2012,MI v PWI,Marlon Samuels,4,4,100
2012,MI v PWI,Bhuvneshwar Kumar,2,4,50
2012,MI v PWI,Murali Kartik,14,9,155.55
2012,MI v PWI,Rahul Sharma,0,0,0
2012,MI v PWI,Richard Levi,0,2,0
2012,MI v PWI,Ambati Rayudu,1,2,50
2012,MI v PWI,Rohit Sharma,1,6,16.66
2012,MI v PWI,James Franklin,32,42,76.19
2012,MI v PWI,Dinesh Karthik,32,32,100
2012,MI v PWI,Suryakumar Yadav,0,4,0
2012,MI v PWI,Kieron Pollard,8,11,72.72
2012,MI v PWI,Harbhajan Singh,16,15,106.66
2012,MI v PWI,Lasith Malinga,5,3,166.66
2012,MI v PWI,Pragyan Ojha,0,1,0
2012,MI v PWI,Munaf Patel,1,2,50
2012,RR v KXIP,Rahul Dravid,28,24,116.66
2012,RR v KXIP,Ajinkya Rahane,98,66,148.48
2012,RR v KXIP,Ashok Menaria,0,3,0
2012,RR v KXIP,Brad Hodge,21,16,131.25
2012,RR v KXIP,Owais Shah,14,8,175
2012,RR v KXIP,Kevon Cooper,11,3,366.66
2012,RR v KXIP,Adam Gilchrist,27,18,150
2012,RR v KXIP,Paul Valthaty,13,15,86.66
2012,RR v KXIP,Shaun Marsh,7,6,116.66
2012,RR v KXIP,Abhishek Nayar,10,10,100
