season,match_name,fullName,runs,ballsFaced,strikeRate
2023,GT v CSK,Devon Conway,1,6,16.66
2023,GT v CSK,Ruturaj Gaikwad,92,50,184
2023,GT v CSK,Moeen Ali,23,17,135.29
2023,GT v CSK,Ben Stokes,7,6,116.66
2023,GT v CSK,Ambati Rayudu,12,12,100
2023,GT v CSK,Shivam Dube,19,18,105.55
2023,GT v CSK,Ravindra Jadeja,1,2,50
2023,GT v CSK,MS Dhoni,14,7,200
2023,GT v CSK,Mitchell Santner,1,3,33.33
2023,GT v CSK,Wriddhiman Saha,25,16,156.25
2023,GT v CSK,Shubman Gill,63,36,175
2023,GT v CSK,Sai Sudharsan,22,17,129.41
2023,GT v CSK,Hardik Pandya,8,11,72.72
2023,GT v CSK,Vijay Shankar,27,21,128.57
2023,GT v CSK,Rahul Tewatia,15,14,107.14
2023,GT v CSK,Rashid Khan,10,3,333.33
2023,PBKS v KKR,Prabhsimran Singh,23,12,191.66
2023,PBKS v KKR,Shikhar Dhawan,40,29,137.93
2023,PBKS v KKR,Bhanuka Rajapaksa,50,32,156.25
2023,PBKS v KKR,Jitesh Sharma,21,11,190.9
2023,PBKS v KKR,Sikandar Raza,16,13,123.07
2023,PBKS v KKR,Sam Curran,26,17,152.94
2023,PBKS v KKR,M Shahrukh Khan,11,7,157.14
2023,PBKS v KKR,Mandeep Singh,2,4,50
2023,PBKS v KKR,Rahmanullah Gurbaz,22,16,137.5
2023,PBKS v KKR,Anukul Roy,4,5,80
2023,PBKS v KKR,Venkatesh Iyer,34,28,121.42
2023,PBKS v KKR,Nitish Rana,24,17,141.17
2023,PBKS v KKR,Rinku Singh,4,4,100
2023,PBKS v KKR,Andre Russell,35,19,184.21
2023,PBKS v KKR,Shardul Thakur,8,3,266.66
2023,PBKS v KKR,Sunil Narine,7,2,350
2023,LSG v DC,KL Rahul,8,12,66.66
2023,LSG v DC,Kyle Mayers,73,38,192.1
2023,LSG v DC,Deepak Hooda,17,18,94.44
2023,LSG v DC,Krunal Pandya,15,13,115.38
2023,LSG v DC,Marcus Stoinis,12,10,120
2023,LSG v DC,Nicholas Pooran,36,21,171.42
2023,LSG v DC,Ayush Badoni,18,7,257.14
2023,LSG v DC,Krishnappa Gowtham,6,1,600
2023,LSG v DC,Prithvi Shaw,12,9,133.33
2023,LSG v DC,David Warner,56,48,116.66
2023,LSG v DC,Mitchell Marsh,0,1,0
2023,LSG v DC,Sarfaraz Khan,4,9,44.44
2023,LSG v DC,Rilee Rossouw,30,20,150
2023,LSG v DC,Rovman Powell,1,3,33.33
2023,LSG v DC,Aman Hakim Khan,4,5,80
2023,LSG v DC,Axar Patel,16,11,145.45
2023,LSG v DC,Kuldeep Yadav,6,10,60
2023,LSG v DC,Chetan Sakariya,4,4,100
2023,LSG v DC,Mukesh Kumar,0,1,0
2023,SRH v RR,Yashasvi Jaiswal,54,37,145.94
2023,SRH v RR,Jos Buttler,54,22,245.45
2023,SRH v RR,Sanju Samson,55,32,171.87
2023,SRH v RR,Devdutt Padikkal,2,5,40
2023,SRH v RR,Riyan Parag,7,6,116.66
2023,SRH v RR,Shimron Hetmyer,22,16,137.5
2023,SRH v RR,Ravichandran Ashwin,1,2,50
2023,SRH v RR,Abhishek Sharma,0,3,0
2023,SRH v RR,Mayank Agarwal,27,23,117.39
2023,SRH v RR,Rahul Tripathi,0,2,0
2023,SRH v RR,Harry Brook,13,21,61.9
2023,SRH v RR,Washington Sundar,1,5,20
2023,SRH v RR,Glenn Phillips,8,6,133.33
2023,SRH v RR,Abdul Samad,32,32,100
2023,SRH v RR,Adil Rashid,18,13,138.46
2023,SRH v RR,Bhuvneshwar Kumar,6,10,60
2023,SRH v RR,Umran Malik,19,8,237.5
2023,RCB v MI,Rohit Sharma,1,10,10
2023,RCB v MI,Ishan Kishan,10,13,76.92
2023,RCB v MI,Cameron Green,5,4,125
2023,RCB v MI,Suryakumar Yadav,15,16,93.75
2023,RCB v MI,Tilak Varma,84,46,182.6
2023,RCB v MI,Nehal Wadhera,21,13,161.53
2023,RCB v MI,Tim David,4,7,57.14
2023,RCB v MI,Hrithik Shokeen,5,3,166.66
2023,RCB v MI,Arshad Khan,15,9,166.66
2023,RCB v MI,Virat Kohli,82,49,167.34
2023,RCB v MI,Faf du Plessis,73,43,169.76
2023,RCB v MI,Dinesh Karthik,0,3,0
2023,RCB v MI,Glenn Maxwell,12,3,400
2023,CSK v LSG,Ruturaj Gaikwad,57,31,183.87
2023,CSK v LSG,Devon Conway,47,29,162.06
2023,CSK v LSG,Shivam Dube,27,16,168.75
2023,CSK v LSG,Moeen Ali,19,13,146.15
2023,CSK v LSG,Ben Stokes,8,8,100
2023,CSK v LSG,Ambati Rayudu,27,14,192.85
2023,CSK v LSG,Ravindra Jadeja,3,6,50
2023,CSK v LSG,MS Dhoni,12,3,400
2023,CSK v LSG,Mitchell Santner,1,1,100
2023,CSK v LSG,KL Rahul,20,18,111.11
2023,CSK v LSG,Kyle Mayers,53,22,240.9
2023,CSK v LSG,Deepak Hooda,2,6,33.33
2023,CSK v LSG,Krunal Pandya,9,9,100
2023,CSK v LSG,Marcus Stoinis,21,18,116.66
2023,CSK v LSG,Nicholas Pooran,32,18,177.77
2023,CSK v LSG,Ayush Badoni,23,18,127.77
2023,CSK v LSG,Krishnappa Gowtham,17,11,154.54
2023,CSK v LSG,Mark Wood,10,3,333.33
2023,DC v GT,David Warner,37,32,115.62
2023,DC v GT,Prithvi Shaw,7,5,140
2023,DC v GT,Mitchell Marsh,4,4,100
2023,DC v GT,Sarfaraz Khan,30,34,88.23
2023,DC v GT,Rilee Rossouw,0,1,0
2023,DC v GT,Abishek Porel,20,11,181.81
2023,DC v GT,Axar Patel,36,22,163.63
2023,DC v GT,Aman Hakim Khan,8,8,100
2023,DC v GT,Kuldeep Yadav,1,1,100
2023,DC v GT,Anrich Nortje,4,2,200
2023,DC v GT,Wriddhiman Saha,14,7,200
2023,DC v GT,Shubman Gill,14,13,107.69
2023,DC v GT,Sai Sudharsan,62,48,129.16
2023,DC v GT,Hardik Pandya,5,4,125
2023,DC v GT,Vijay Shankar,29,23,126.08
2023,DC v GT,David Miller,31,16,193.75
2023,RR v PBKS,Prabhsimran Singh,60,34,176.47
2023,RR v PBKS,Shikhar Dhawan,86,56,153.57
2023,RR v PBKS,Bhanuka Rajapaksa,1,1,100
2023,RR v PBKS,Jitesh Sharma,27,16,168.75
2023,RR v PBKS,Sikandar Raza,1,2,50
2023,RR v PBKS,M Shahrukh Khan,11,10,110
2023,RR v PBKS,Sam Curran,1,2,50
2023,RR v PBKS,Yashasvi Jaiswal,11,8,137.5
2023,RR v PBKS,Ravichandran Ashwin,0,4,0
2023,RR v PBKS,Jos Buttler,19,11,172.72
2023,RR v PBKS,Sanju Samson,42,25,168
2023,RR v PBKS,Devdutt Padikkal,21,26,80.76
2023,RR v PBKS,Riyan Parag,20,12,166.66
2023,RR v PBKS,Shimron Hetmyer,36,18,200
2023,RR v PBKS,Dhruv Jurel,32,15,213.33
2023,RR v PBKS,Jason Holder,1,1,100
2023,KKR v RCB,Rahmanullah Gurbaz,57,44,129.54
2023,KKR v RCB,Venkatesh Iyer,3,7,42.85
2023,KKR v RCB,Mandeep Singh,0,1,0
2023,KKR v RCB,Nitish Rana,1,5,20
2023,KKR v RCB,Rinku Singh,46,33,139.39
2023,KKR v RCB,Andre Russell,0,1,0
2023,KKR v RCB,Shardul Thakur,68,29,234.48
2023,KKR v RCB,Sunil Narine,0,1,0
2023,KKR v RCB,Umesh Yadav,6,2,300
2023,KKR v RCB,Virat Kohli,21,18,116.66
2023,KKR v RCB,Faf du Plessis,23,12,191.66
2023,KKR v RCB,Michael Bracewell,19,18,105.55
2023,KKR v RCB,Glenn Maxwell,5,7,71.42
2023,KKR v RCB,Harshal Patel,0,2,0
2023,KKR v RCB,Shahbaz Ahmed,1,5,20
2023,KKR v RCB,Dinesh Karthik,9,8,112.5
2023,KKR v RCB,Anuj Rawat,1,5,20
2023,KKR v RCB,David Willey,20,20,100
2023,KKR v RCB,Karn Sharma,1,3,33.33
2023,KKR v RCB,Akash Deep,17,8,212.5
2023,LSG v SRH,Anmolpreet Singh,31,26,119.23
2023,LSG v SRH,Mayank Agarwal,8,7,114.28
2023,LSG v SRH,Rahul Tripathi,34,41,82.92
2023,LSG v SRH,Aiden Markram,0,1,0
2023,LSG v SRH,Harry Brook,3,4,75
2023,LSG v SRH,Washington Sundar,16,28,57.14
2023,LSG v SRH,Abdul Samad,21,10,210
2023,LSG v SRH,Adil Rashid,4,3,133.33
2023,LSG v SRH,Umran Malik,0,0,0
2023,LSG v SRH,Bhuvneshwar Kumar,0,0,0
2023,LSG v SRH,Kyle Mayers,13,14,92.85
2023,LSG v SRH,KL Rahul,35,31,112.9
2023,LSG v SRH,Deepak Hooda,7,8,87.5
2023,LSG v SRH,Krunal Pandya,34,23,147.82
2023,LSG v SRH,Marcus Stoinis,10,13,76.92
2023,LSG v SRH,Romario Shepherd,0,1,0
2023,LSG v SRH,Nicholas Pooran,11,6,183.33
2023,RR v DC,Yashasvi Jaiswal,60,31,193.54
