season,match_name,fullName,overs,conceded,wickets,economyRate
2019,CSK v RCB,Deepak Chahar,4,17,0,4.25
2019,CSK v RCB,Harbhajan Singh,4,20,3,5
2019,CSK v RCB,Suresh Raina,1,6,0,6
2019,CSK v RCB,Imran Tahir,4,9,3,2.25
2019,CSK v RCB,Ravindra Jadeja,4,15,2,3.75
2019,CSK v RCB,Dwayne Bravo,0.1,0,1,0
2019,CSK v RCB,Yuzvendra Chahal,4,6,1,1.5
2019,CSK v RCB,Navdeep Saini,4,24,0,6
2019,CSK v RCB,Moeen Ali,4,19,1,4.75
2019,CSK v RCB,Umesh Yadav,3,13,0,4.33
2019,CSK v RCB,Mohammed Siraj,2,5,1,2.5
2019,CSK v RCB,Shivam Dube,0.4,3,0,4.5
2019,KKR v SRH,Prasidh Krishna,4,31,0,7.75
2019,KKR v SRH,Piyush Chawla,3,23,1,7.66
2019,KKR v SRH,Lockie Ferguson,4,34,0,8.5
2019,KKR v SRH,Sunil Narine,3,29,0,9.66
2019,KKR v SRH,Kuldeep Yadav,2,18,0,9
2019,KKR v SRH,Andre Russell,3,32,2,10.66
2019,KKR v SRH,Nitish Rana,1,9,0,9
2019,KKR v SRH,Bhuvneshwar Kumar,4,37,0,9.25
2019,KKR v SRH,Shakib Al Hasan,3.4,42,1,11.45
2019,KKR v SRH,Sandeep Sharma,4,42,1,10.5
2019,KKR v SRH,Siddarth Kaul,4,35,1,8.75
2019,KKR v SRH,Rashid Khan,4,26,1,6.5
2019,MI v DC,Rasikh Salam,4,42,0,10.5
2019,MI v DC,Mitchell McClenaghan,4,40,3,10
2019,MI v DC,Jasprit Bumrah,4,40,1,10
2019,MI v DC,Hardik Pandya,4,41,1,10.25
2019,MI v DC,Krunal Pandya,2,21,0,10.5
2019,MI v DC,Ben Cutting,2,27,1,13.5
2019,MI v DC,Trent Boult,4,42,1,10.5
2019,MI v DC,Ishant Sharma,4,34,2,8.5
2019,MI v DC,Kagiso Rabada,4,23,2,5.75
2019,MI v DC,Rahul Tewatia,1.2,12,1,9
2019,MI v DC,Keemo Paul,3,21,1,7
2019,MI v DC,Axar Patel,3,42,1,14
2019,RR v KXIP,Dhawal Kulkarni,4,30,1,7.5
2019,RR v KXIP,Krishnappa Gowtham,4,32,1,8
2019,RR v KXIP,Jofra Archer,4,17,0,4.25
2019,RR v KXIP,Ben Stokes,4,48,2,12
2019,RR v KXIP,Jaydev Unadkat,3,44,0,14.66
2019,RR v KXIP,Shreyas Gopal,1,5,0,5
2019,RR v KXIP,Sam Curran,4,52,2,13
2019,RR v KXIP,Mujeeb Ur Rahman,4,31,2,7.75
2019,RR v KXIP,Mohammed Shami,4,33,0,8.25
2019,RR v KXIP,Ravichandran Ashwin,4,20,1,5
2019,RR v KXIP,Ankit Rajpoot,4,33,2,8.25
2019,DC v CSK,Deepak Chahar,4,20,1,5
2019,DC v CSK,Shardul Thakur,2,19,0,9.5
2019,DC v CSK,Harbhajan Singh,4,30,0,7.5
2019,DC v CSK,Ravindra Jadeja,4,23,1,5.75
2019,DC v CSK,Imran Tahir,2,20,1,10
2019,DC v CSK,Dwayne Bravo,4,33,3,8.25
2019,DC v CSK,Ishant Sharma,3,28,1,9.33
2019,DC v CSK,Axar Patel,4,16,0,4
2019,DC v CSK,Kagiso Rabada,3.4,26,1,7.09
2019,DC v CSK,Amit Mishra,4,35,2,8.75
2019,DC v CSK,Rahul Tewatia,2,20,0,10
2019,DC v CSK,Keemo Paul,3,20,0,6.66
2019,KKR v KXIP,Mohammed Shami,4,44,1,11
2019,KKR v KXIP,Varun Chakravarthy,3,35,1,11.66
2019,KKR v KXIP,Hardus Viljoen,4,36,1,9
2019,KKR v KXIP,Andrew Tye,4,37,1,9.25
