season,rank,name,matchesplayed,matcheswon,matcheslost,matchpoints
2019,1,MI,14,9,5,18
2019,2,CSK,14,9,5,18
2019,3,DC,14,9,5,18
2019,4,SRH,14,6,8,12
2019,5,KKR,14,6,8,12
2019,6,PKBS,14,6,8,12
2019,7,RR,14,5,8,11
2019,8,RCB,14,5,8,11
