season,match_name,fullName,runs,ballsFaced,strikeRate
2019,CSK v RCB,Virat Kohli,6,12,50
2019,CSK v RCB,Parthiv Patel,29,35,82.85
2019,CSK v RCB,Moeen Ali,9,8,112.5
2019,CSK v RCB,AB de Villiers,9,10,90
2019,CSK v RCB,Shimron Hetmyer,0,2,0
2019,CSK v RCB,Shivam Dube,2,5,40
2019,CSK v RCB,Colin de Grandhomme,4,6,66.66
2019,CSK v RCB,Navdeep Saini,2,3,66.66
2019,CSK v RCB,Yuzvendra Chahal,4,12,33.33
2019,CSK v RCB,Umesh Yadav,1,10,10
2019,CSK v RCB,Mohammed Siraj,0,1,0
2019,CSK v RCB,Shane Watson,0,10,0
2019,CSK v RCB,Ambati Rayudu,28,42,66.66
2019,CSK v RCB,Suresh Raina,19,21,90.47
2019,CSK v RCB,Kedar Jadhav,13,19,68.42
2019,CSK v RCB,Ravindra Jadeja,6,15,40
2019,KKR v SRH,David Warner,85,53,160.37
2019,KKR v SRH,Jonny Bairstow,39,35,111.42
2019,KKR v SRH,Vijay Shankar,40,24,166.66
2019,KKR v SRH,Yusuf Pathan,1,4,25
2019,KKR v SRH,Manish Pandey,8,5,160
2019,KKR v SRH,Chris Lynn,7,11,63.63
2019,KKR v SRH,Nitish Rana,68,47,144.68
2019,KKR v SRH,Robin Uthappa,35,27,129.62
2019,KKR v SRH,Dinesh Karthik,2,4,50
2019,KKR v SRH,Andre Russell,49,19,257.89
2019,KKR v SRH,Shubman Gill,18,10,180
2019,MI v DC,Prithvi Shaw,7,6,116.66
2019,MI v DC,Shikhar Dhawan,43,36,119.44
2019,MI v DC,Shreyas Iyer,16,10,160
2019,MI v DC,Colin Ingram,47,32,146.87
2019,MI v DC,Rishabh Pant,78,27,288.88
2019,MI v DC,Keemo Paul,3,5,60
2019,MI v DC,Axar Patel,4,2,200
2019,MI v DC,Rahul Tewatia,9,4,225
2019,MI v DC,Rohit Sharma,14,13,107.69
2019,MI v DC,Quinton de Kock,27,16,168.75
