season,match_name,fullName,overs,conceded,wickets,economyRate
2013,KKR v DC,Brett Lee,4,40,2,10
2013,KKR v DC,Jacques Kallis,3,23,0,7.66
2013,KKR v DC,Lakshmipathy Balaji,4,20,1,5
2013,KKR v DC,Sunil Narine,4,13,4,3.25
2013,KKR v DC,Rajat Bhatia,4,23,2,5.75
2013,KKR v DC,Laxmi Shukla,1,8,0,8
2013,KKR v DC,Irfan Pathan,2,15,0,7.5
2013,KKR v DC,Ashish Nehra,3,20,1,6.66
2013,KKR v DC,Umesh Yadav,3,23,0,7.66
2013,KKR v DC,Shahbaz Nadeem,4,22,2,5.5
2013,KKR v DC,Johan Botha,3.4,22,1,6
2013,KKR v DC,Andre Russell,3,24,0,8
2013,RCB v MI,Mitchell Johnson,3,15,1,5
2013,RCB v MI,Munaf Patel,4,40,0,10
2013,RCB v MI,Jasprit Bumrah,4,32,3,8
2013,RCB v MI,Jacob Oram,4,22,0,5.5
2013,RCB v MI,Harbhajan Singh,4,21,1,5.25
2013,RCB v MI,Kieron Pollard,1,15,0,15
2013,RCB v MI,Jaydev Unadkat,4,26,0,6.5
2013,RCB v MI,Daniel Christian,4,42,0,10.5
2013,RCB v MI,Vinay Kumar,4,27,3,6.75
2013,RCB v MI,Muttiah Muralitharan,4,30,0,7.5
2013,RCB v MI,Murali Kartik,4,24,1,6
2013,SRH v PWI,Marlon Samuels,4,34,1,8.5
2013,SRH v PWI,Bhuvneshwar Kumar,4,17,1,4.25
2013,SRH v PWI,Ashok Dinda,4,29,2,7.25
2013,SRH v PWI,Angelo Mathews,2,16,0,8
2013,SRH v PWI,Rahul Sharma,4,21,1,5.25
2013,SRH v PWI,Yuvraj Singh,2,8,1,4
2013,SRH v PWI,Dale Steyn,3.5,11,3,2.86
2013,SRH v PWI,Ishant Sharma,4,22,0,5.5
2013,SRH v PWI,Thisara Perera,4,29,2,7.25
2013,SRH v PWI,Amit Mishra,4,19,3,4.75
2013,SRH v PWI,Cameron White,1,2,0,2
2013,SRH v PWI,Ashish Reddy,2,21,1,10.5
2013,DC v RR,Irfan Pathan,4,31,0,7.75
2013,DC v RR,Ashish Nehra,4,35,2,8.75
2013,DC v RR,Umesh Yadav,4,24,4,6
2013,DC v RR,Andre Russell,3,31,0,10.33
2013,DC v RR,Shahbaz Nadeem,4,22,1,5.5
2013,DC v RR,Johan Botha,1,19,0,19
2013,DC v RR,Samuel Badree,4,34,0,8.5
